event_id,event_name,event_category,event_date,event_standing_attendance,event_seated_attendance,event_total_attendance,ticket_price_standing,ticket_price_seated
EVT0001,Colourful Carnival,Family,2025-01-04,216,172,388,54.87,62.22
EVT0002,Elite Sports Festival,Sport,2025-01-11,359,157,516,26.41,42.67
EVT0003,Big Special,Comedy,2025-01-18,391,129,520,61.14,77.23
EVT0004,Saturday Circuit,Comedy,2025-01-25,444,12,456,61.38,82.17
EVT0005,Secret Quest,Family,2025-02-01,34,195,229,64.66,89.12
EVT0006,Golden Signals,Music,2025-02-08,249,8,257,27.71,49.79
EVT0007,Curious Discovery,Family,2025-02-15,205,65,270,38.52,55.26
EVT0008,Northern Horizons,Music,2025-02-22,343,95,438,31.35,53.1
EVT0009,The Hidden Journey,Theatre,2025-03-01,315,140,455,35.62,61.43
EVT0010,Premier Darts Open,Sport,2025-03-08,449,57,506,54.12,62.61
EVT0011,Echoing Echoes,Music,2025-03-15,399,158,557,53.24,75.87
EVT0012,Amazing Carnival,Family,2025-03-22,253,114,367,26.99,34.85
EVT0013,Colourful Carnival 2,Family,2025-03-29,428,113,541,58.25,79.12
EVT0014,The Last Promise,Theatre,2025-04-05,398,61,459,21.54,37.46
EVT0015,Late Night Sessions,Comedy,2025-04-12,497,171,668,31.7,38.16
EVT0016,Punchline Joke Factory,Comedy,2025-04-19,217,133,350,47.85,72.45
EVT0017,Wonderful Carnival,Family,2025-04-26,209,163,372,28.35,33.92
EVT0018,Silver Anthems,Music,2025-05-03,349,92,441,28.06,45.59
EVT0019,Northern Static,Music,2025-05-10,248,89,337,39.05,51.59
EVT0020,Colourful Quest,Family,2025-05-17,480,17,497,25.9,54.95
EVT0021,Championship Martial Arts,Sport,2025-05-24,229,53,282,68.46,92.93
EVT0022,Secret Carnival,Family,2025-05-31,369,54,423,24.82,52.39
EVT0023,The Broken Voyage,Theatre,2025-06-07,361,61,422,48.96,58.38
EVT0024,Ultimate Sports Festival,Sport,2025-06-14,246,144,390,41.6,62.28
EVT0025,The Last Portrait,Theatre,2025-06-21,315,16,331,40.79,46.83
EVT0026,The Hidden Garden,Theatre,2025-06-28,330,29,359,25.17,44.86
EVT0027,Neon Sound,Music,2025-07-05,495,116,611,37.34,57.11
EVT0028,Midnight Sound,Music,2025-07-12,209,96,305,59.14,66.21
EVT0029,The Golden Letter,Theatre,2025-07-19,221,188,409,48.59,65.43
EVT0030,Punchline Showcase,Comedy,2025-07-26,273,104,377,41.95,47.49
EVT0031,Ultimate Challenge,Sport,2025-08-02,271,28,299,47.7,55.41
EVT0032,Great Kingdom,Family,2025-08-09,122,132,254,56.35,80.57
EVT0033,Crimson Sound,Music,2025-08-16,488,46,534,21.87,40.74
EVT0034,Unfiltered Night,Comedy,2025-08-23,230,162,392,35.86,64.68
EVT0035,Comic Circuit,Comedy,2025-08-30,453,51,504,66.8,75.92
EVT0036,Neon Signals,Music,2025-09-06,485,199,684,64.58,88.3
EVT0037,Indoor Challenge,Sport,2025-09-13,58,104,162,35.8,60.1
EVT0038,Wonderful Quest,Family,2025-09-20,444,18,462,57.34,68.9
EVT0039,City Boxing Showcase,Sport,2025-09-27,15,24,39,61.56,70.39
EVT0040,Golden Parade,Music,2025-10-04,360,175,535,29.82,42.58
EVT0041,Curious Discovery 2,Family,2025-10-11,250,100,350,27.19,32.54
EVT0042,Late Night Comedy Club,Comedy,2025-10-18,8,136,144,26.09,43.75
EVT0043,Secret Workshop,Family,2025-10-25,208,40,248,60.21,83.1
EVT0044,Winter Circus,Family,2025-11-01,217,24,241,66.38,81.32
EVT0045,Big Sessions,Comedy,2025-11-08,254,133,387,67.78,79.94
EVT0046,Championship Fight Night,Sport,2025-11-15,299,111,410,51.7,59.35
EVT0047,Silver Signals,Music,2025-11-22,3,194,197,49.8,78.13
EVT0048,Championship Futsal Cup,Sport,2025-11-29,317,157,474,20.89,28.62
EVT0049,Indoor Sports Festival,Sport,2025-12-06,231,46,277,46.54,66.69
EVT0050,Elite Martial Arts,Sport,2025-12-13,145,82,227,38.71,54.36
EVT0051,Summer Festival,Family,2025-12-20,137,91,228,32.39,43.31
EVT0052,Winter Festival,Family,2025-12-27,480,21,501,23.33,43.19
