ucr_id,total_linked_records,total_source_systems,source_systems,crm_record_count,ecommerce_record_count,marketing_record_count,online_record_count,support_record_count,ecommerce_transaction_count,ecommerce_total_revenue,ecommerce_total_tickets,ecommerce_average_transaction_value,ecommerce_distinct_events,first_transaction_date_time,last_transaction_date_time,first_attended_event_date,last_attended_event_date,online_session_count,online_total_duration_seconds,online_average_duration_seconds,online_baskets_created,online_baskets_converted,online_linked_transaction_count,first_online_session,last_online_session,online_basket_conversion_rate,marketing_contact_count,marketing_emails_opened,marketing_links_clicked,first_marketing_contact_date,last_marketing_contact_date,latest_marketing_consent_status,support_ticket_count,support_open_ticket_count,support_resolved_ticket_count,support_average_resolution_hours,first_support_ticket,last_support_ticket,first_recorded_interaction,last_recorded_interaction
UCR000001,10,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,3,1,3,2,3,257.51,4,85.84,3.0,2025-01-02 09:51:51,2025-05-28 10:31:21,2025-01-11,2025-11-01,3,2701.0,900.33,2,2,2,2025-01-02 09:50:20,2025-06-06 07:29:52,1.0,1,5,0,2025-10-31,2025-10-31,True,2,1,1,9.18,2025-02-26 00:59:18,2025-05-18 17:09:11,2025-01-02 09:50:20,2025-10-31
UCR000002,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,130.86,2,130.86,1.0,2025-05-23 15:43:18,2025-05-23 15:43:18,2025-07-19,2025-07-19,0,0.0,,0,0,0,,,0.0,1,6,1,2025-05-22,2025-05-22,True,0,0,0,,,,2025-05-22,2025-05-23 15:43:18
UCR000003,6,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,2,1,0,2,164.23,3,82.12,2.0,2025-01-05 02:06:44,2025-05-10 02:16:08,2025-01-18,2025-07-26,1,430.0,430.0,1,1,1,2025-05-10 02:13:03,2025-05-10 02:13:03,1.0,2,22,7,2025-01-01,2025-06-28,True,0,0,0,,,,2025-01-01,2025-06-28
UCR000004,5,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,1,1,1,1,1,38.71,1,38.71,1.0,2025-11-25 09:09:50,2025-11-25 09:09:50,2025-12-13,2025-12-13,1,3420.0,3420.0,1,1,1,2025-11-25 08:37:52,2025-11-25 08:37:52,1.0,1,12,3,2025-10-02,2025-10-02,True,1,0,1,10.5,2025-09-19 03:09:51,2025-09-19 03:09:51,2025-09-19 03:09:51,2025-11-25 09:09:50
UCR000005,4,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,1,1,0,1,1,61.14,1,61.14,1.0,2025-01-04 15:30:17,2025-01-04 15:30:17,2025-01-18,2025-01-18,0,0.0,,0,0,0,,,0.0,1,4,0,2025-05-14,2025-05-14,False,1,1,0,,2025-02-18 13:45:53,2025-02-18 13:45:53,2025-01-04 15:30:17,2025-05-14
UCR000006,14,3,CRM | ECOMMERCE | ONLINE,1,1,0,12,0,1,35.86,1,35.86,1.0,2025-07-21 11:01:38,2025-07-21 11:01:38,2025-08-23,2025-08-23,12,9982.0,831.83,1,0,0,2025-01-12 06:37:41,2025-12-22 11:17:11,0.0,0,0,0,,,,0,0,0,,,,2025-01-12 06:37:41,2025-12-22 11:17:11
UCR000007,4,3,CRM | ECOMMERCE | MARKETING,2,1,1,0,0,1,41.78,2,41.78,1.0,2025-10-07 05:26:12,2025-10-07 05:26:12,2025-11-29,2025-11-29,0,0.0,,0,0,0,,,0.0,1,9,1,2025-10-19,2025-10-19,True,0,0,0,,,,2025-10-07 05:26:12,2025-10-19
UCR000008,8,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,1,3,1,2,1,54.87,1,54.87,1.0,2025-01-01 04:00:24,2025-01-01 04:00:24,2025-01-04,2025-01-04,1,913.0,913.0,1,1,1,2025-01-01 03:52:30,2025-01-01 03:52:30,1.0,3,14,1,2025-07-27,2025-08-31,True,2,0,2,14.78,2025-04-02 08:23:01,2025-12-21 08:54:22,2025-01-01 03:52:30,2025-12-21 08:54:22
UCR000009,9,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,1,5,0,2,125.22,3,62.61,2.0,2025-07-06 15:17:24,2025-08-03 09:49:34,2025-08-02,2025-10-04,5,3347.0,669.4,1,1,1,2025-01-01 16:22:06,2025-12-19 12:38:12,1.0,1,11,3,2025-04-02,2025-04-02,True,0,0,0,,,,2025-01-01 16:22:06,2025-12-19 12:38:12
UCR000010,10,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,3,2,4,0,3,209.08,4,69.69,3.0,2025-02-22 10:23:37,2025-04-16 13:40:33,2025-09-06,2025-10-04,4,2365.0,591.25,2,2,2,2025-03-09 04:59:57,2025-12-14 21:01:39,1.0,2,5,0,2025-05-01,2025-10-25,True,0,0,0,,,,2025-02-22 10:23:37,2025-12-14 21:01:39
UCR000011,7,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,1,1,3,1,1,33.92,1,33.92,1.0,2025-01-01 23:22:02,2025-01-01 23:22:02,2025-04-26,2025-04-26,3,827.0,275.67,2,1,1,2025-01-01 23:16:41,2025-10-26 14:47:25,0.5,1,6,0,2025-07-21,2025-07-21,False,1,1,0,,2025-05-28 21:34:40,2025-05-28 21:34:40,2025-01-01 23:16:41,2025-10-26 14:47:25
UCR000012,15,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,3,2,7,2,3,220.78,5,73.59,2.0,2025-01-09 18:39:04,2025-05-04 11:25:24,2025-05-10,2025-09-06,7,4234.0,604.86,6,3,3,2025-01-09 18:28:31,2025-10-13 11:17:33,0.5,2,13,2,2025-01-01,2025-05-05,False,2,1,1,33.03,2025-01-13 04:40:05,2025-09-15 00:59:52,2025-01-01,2025-10-13 11:17:33
UCR000013,9,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,1,1,4,2,1,133.6,2,133.6,1.0,2025-03-30 07:51:55,2025-03-30 07:51:55,2025-08-30,2025-08-30,4,4248.0,1062.0,2,1,1,2025-03-11 21:13:20,2025-09-20 11:43:23,0.5,1,9,3,2025-03-11,2025-03-11,True,2,0,2,38.51,2025-10-23 13:19:28,2025-11-23 15:44:08,2025-03-11,2025-11-23 15:44:08
UCR000014,10,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,2,1,5,1,2,90.28,2,45.14,2.0,2025-01-01 15:15:36,2025-04-22 14:31:01,2025-01-04,2025-05-03,5,3634.0,726.8,3,1,1,2025-01-01 15:10:28,2025-09-20 03:02:36,0.3333,1,9,0,2025-08-16,2025-08-16,True,1,0,1,11.95,2025-06-23 00:44:40,2025-06-23 00:44:40,2025-01-01 15:10:28,2025-09-20 03:02:36
UCR000015,6,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,3,0,1,356.48,4,356.48,1.0,2025-01-21 15:58:22,2025-01-21 15:58:22,2025-02-01,2025-02-01,3,2016.0,672.0,3,1,1,2025-01-21 15:47:01,2025-12-07 19:44:37,0.3333,1,7,0,2025-07-23,2025-07-23,True,0,0,0,,,,2025-01-21 15:47:01,2025-12-07 19:44:37
UCR000016,5,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,2,0,1,74.46,3,74.46,1.0,2025-05-27 21:07:41,2025-05-27 21:07:41,2025-05-31,2025-05-31,2,1950.0,975.0,1,0,0,2025-03-14 17:41:22,2025-11-29 03:27:44,0.0,1,10,3,2025-06-04,2025-06-04,True,0,0,0,,,,2025-03-14 17:41:22,2025-11-29 03:27:44
UCR000017,7,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,2,3,0,1,156.26,2,156.26,1.0,2025-07-30 03:05:27,2025-07-30 03:05:27,2025-11-22,2025-11-22,3,1535.0,511.67,0,0,0,2025-03-21 21:16:29,2025-09-18 19:11:35,0.0,2,16,2,2025-01-25,2025-05-20,True,0,0,0,,,,2025-01-25,2025-09-18 19:11:35
UCR000018,6,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,1,2,0,2,86.96,2,43.48,2.0,2025-01-28 12:50:06,2025-03-01 19:52:10,2025-02-15,2025-04-12,2,2678.0,1339.0,2,2,2,2025-01-28 12:38:53,2025-03-01 19:46:10,1.0,1,2,1,2025-03-13,2025-03-13,True,0,0,0,,,,2025-01-28 12:38:53,2025-03-13
UCR000019,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,155.1,3,155.1,1.0,2025-10-14 22:20:16,2025-10-14 22:20:16,2025-11-15,2025-11-15,0,0.0,,0,0,0,,,0.0,1,5,2,2025-11-17,2025-11-17,True,0,0,0,,,,2025-10-14 22:20:16,2025-11-17
UCR000020,2,2,CRM | ECOMMERCE,1,1,0,0,0,1,35.86,1,35.86,1.0,2025-06-11 23:52:38,2025-06-11 23:52:38,2025-08-23,2025-08-23,0,0.0,,0,0,0,,,0.0,0,0,0,,,,0,0,0,,,,2025-06-11 23:52:38,2025-06-11 23:52:38
UCR000021,5,3,CRM | MARKETING | ONLINE,1,0,2,2,0,0,0.0,0,,,,,,,2,1500.0,750.0,0,0,0,2025-01-21 16:30:43,2025-03-08 04:38:35,0.0,2,13,1,2025-07-02,2025-08-29,False,0,0,0,,,,2025-01-21 16:30:43,2025-08-29
UCR000022,10,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,3,2,4,0,3,162.92,4,54.31,3.0,2025-03-21 18:38:51,2025-06-30 22:13:53,2025-05-10,2025-08-23,4,953.0,238.25,2,1,1,2025-03-15 03:52:29,2025-08-05 23:30:24,0.5,2,12,2,2025-01-11,2025-05-18,False,0,0,0,,,,2025-01-11,2025-08-05 23:30:24
UCR000023,8,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1,2,0,2,3,2,199.32,4,99.66,2.0,2025-01-07 03:15:18,2025-02-03 03:20:14,2025-01-18,2025-02-15,2,1035.0,517.5,2,2,2,2025-01-07 03:10:44,2025-02-03 03:17:02,1.0,0,0,0,,,,3,0,3,20.61,2025-01-03 01:42:52,2025-06-30 07:57:03,2025-01-03 01:42:52,2025-06-30 07:57:03
UCR000024,5,3,CRM | MARKETING | ONLINE,1,0,1,3,0,0,0.0,0,,,,,,,3,1258.0,419.33,1,0,0,2025-02-23 18:19:59,2025-09-30 08:40:34,0.0,1,5,0,2025-03-03,2025-03-03,False,0,0,0,,,,2025-02-23 18:19:59,2025-09-30 08:40:34
UCR000025,5,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,2,0,1,93.08,2,93.08,1.0,2025-12-02 07:44:40,2025-12-02 07:44:40,2025-12-06,2025-12-06,2,5402.0,2701.0,1,0,0,2025-12-01 19:54:56,2025-12-26 16:51:06,0.0,1,11,5,2025-12-28,2025-12-28,True,0,0,0,,,,2025-12-01 19:54:56,2025-12-28
UCR000026,9,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,1,5,0,2,108.59,3,54.3,2.0,2025-01-06 10:00:32,2025-06-12 01:54:49,2025-03-29,2025-06-28,5,2960.0,592.0,2,2,2,2025-01-06 09:56:21,2025-09-28 13:19:36,1.0,1,0,0,2025-05-21,2025-05-21,True,0,0,0,,,,2025-01-06 09:56:21,2025-09-28 13:19:36
UCR000027,7,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,4,0,1,42.67,1,42.67,1.0,2025-01-04 11:19:43,2025-01-04 11:19:43,2025-01-11,2025-01-11,4,4402.0,1100.5,1,1,1,2025-01-04 10:58:38,2025-12-03 03:49:17,1.0,1,13,6,2025-08-03,2025-08-03,True,0,0,0,,,,2025-01-04 10:58:38,2025-12-03 03:49:17
UCR000028,8,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,2,1,2,2,2,147.37,2,73.68,2.0,2025-08-05 06:25:55,2025-08-27 14:20:07,2025-08-09,2025-08-30,2,3473.0,1736.5,2,2,2,2025-08-05 06:19:01,2025-08-27 13:49:14,1.0,1,3,0,2025-07-08,2025-07-08,True,2,0,2,46.17,2025-12-20 14:03:36,2025-12-27 18:40:09,2025-07-08,2025-12-27 18:40:09
UCR000029,11,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,2,4,1,2,76.59,2,38.3,2.0,2025-06-09 11:10:13,2025-06-24 13:07:42,2025-06-21,2025-09-13,4,4062.0,1015.5,2,2,2,2025-06-09 11:02:48,2025-09-14 15:06:47,1.0,2,10,2,2025-07-17,2025-12-11,True,1,0,1,40.68,2025-12-19 16:58:15,2025-12-19 16:58:15,2025-06-09 11:02:48,2025-12-19 16:58:15
UCR000030,6,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,2,1,1,1,2,190.15,4,95.07,2.0,2025-01-29 13:55:52,2025-05-23 23:13:59,2025-07-05,2025-11-22,1,2840.0,2840.0,1,1,1,2025-01-29 13:31:23,2025-01-29 13:31:23,1.0,1,13,9,2025-11-09,2025-11-09,False,1,0,1,2.25,2025-08-10 16:52:11,2025-08-10 16:52:11,2025-01-29 13:31:23,2025-11-09
UCR000031,9,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,6,0,1,28.35,1,28.35,1.0,2025-02-02 10:28:55,2025-02-02 10:28:55,2025-04-26,2025-04-26,6,7702.0,1283.67,3,1,1,2025-01-13 12:33:23,2025-10-21 02:45:27,0.3333,1,12,3,2025-02-09,2025-02-09,True,0,0,0,,,,2025-01-13 12:33:23,2025-10-21 02:45:27
UCR000032,3,3,CRM | ECOMMERCE | ONLINE,1,1,0,1,0,1,95.4,2,95.4,1.0,2025-05-07 10:36:41,2025-05-07 10:36:41,2025-08-02,2025-08-02,1,722.0,722.0,1,1,1,2025-05-07 10:26:53,2025-05-07 10:26:53,1.0,0,0,0,,,,0,0,0,,,,2025-05-07 10:26:53,2025-05-07 10:36:41
UCR000033,13,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,2,2,7,1,2,63.14,2,31.57,2.0,2025-01-25 02:41:47,2025-04-30 02:06:16,2025-04-05,2025-06-14,7,4164.0,594.86,2,2,2,2025-01-25 02:37:24,2025-11-06 09:51:42,1.0,2,14,6,2025-07-20,2025-09-23,True,1,0,1,22.93,2025-03-10 10:25:36,2025-03-10 10:25:36,2025-01-25 02:37:24,2025-11-06 09:51:42
UCR000034,8,4,CRM | MARKETING | ONLINE | SUPPORT,1,0,1,5,1,0,0.0,0,,,,,,,5,1783.0,356.6,2,0,0,2025-01-30 03:29:30,2025-11-30 13:58:22,0.0,1,3,1,2025-08-09,2025-08-09,False,1,0,1,24.15,2025-12-14 17:21:00,2025-12-14 17:21:00,2025-01-30 03:29:30,2025-12-14 17:21:00
UCR000035,7,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,2,3,0,1,66.8,1,66.8,1.0,2025-08-01 07:42:33,2025-08-01 07:42:33,2025-08-30,2025-08-30,3,3195.0,1065.0,1,0,0,2025-01-11 13:17:00,2025-06-23 15:49:15,0.0,2,11,5,2025-09-21,2025-10-14,True,0,0,0,,,,2025-01-11 13:17:00,2025-10-14
UCR000036,10,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,1,6,0,2,81.31,2,40.66,2.0,2025-02-16 19:37:11,2025-02-26 10:23:31,2025-03-08,2025-10-11,6,5517.0,919.5,3,2,2,2025-01-27 02:47:47,2025-12-31 18:58:20,0.6667,1,10,1,2025-11-27,2025-11-27,False,0,0,0,,,,2025-01-27 02:47:47,2025-12-31 18:58:20
UCR000037,4,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,1,0,1,59.14,1,59.14,1.0,2025-06-15 01:34:20,2025-06-15 01:34:20,2025-07-12,2025-07-12,1,902.0,902.0,1,1,1,2025-06-15 01:21:54,2025-06-15 01:21:54,1.0,1,1,0,2025-07-03,2025-07-03,False,0,0,0,,,,2025-06-15 01:21:54,2025-07-03
UCR000038,8,3,CRM | ECOMMERCE | ONLINE,1,4,0,3,0,4,696.8,10,174.2,4.0,2025-01-07 13:59:35,2025-06-05 09:30:58,2025-04-19,2025-11-22,3,3031.0,1010.33,3,3,3,2025-01-07 13:45:39,2025-06-05 09:24:53,1.0,0,0,0,,,,0,0,0,,,,2025-01-07 13:45:39,2025-06-05 09:30:58
UCR000039,3,2,CRM | MARKETING,1,0,2,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,2,10,0,2025-05-17,2025-06-06,True,0,0,0,,,,2025-05-17,2025-06-06
UCR000040,3,3,CRM | ECOMMERCE | MARKETING,1,1,1,0,0,1,83.56,4,83.56,1.0,2025-11-27 14:51:09,2025-11-27 14:51:09,2025-11-29,2025-11-29,0,0.0,,0,0,0,,,0.0,1,15,4,2025-12-31,2025-12-31,True,0,0,0,,,,2025-11-27 14:51:09,2025-12-31
UCR000041,14,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,3,2,8,0,3,156.42,3,52.14,3.0,2025-01-10 04:27:28,2025-07-07 00:37:25,2025-01-11,2025-09-06,8,7778.0,972.25,3,3,3,2025-01-10 04:21:04,2025-12-12 11:15:28,1.0,2,26,8,2025-05-17,2025-12-14,True,0,0,0,,,,2025-01-10 04:21:04,2025-12-14
UCR000042,12,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,3,2,5,1,3,337.74,8,112.58,3.0,2025-01-05 05:04:46,2025-02-23 19:44:46,2025-01-11,2025-08-30,5,1554.0,310.8,2,2,2,2025-01-05 05:00:57,2025-10-14 02:28:05,1.0,2,8,1,2025-08-31,2025-10-31,False,1,0,1,29.87,2025-09-26 07:07:14,2025-09-26 07:07:14,2025-01-05 05:00:57,2025-10-31
UCR000043,12,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,2,1,6,2,2,69.87,2,34.94,2.0,2025-01-18 10:43:02,2025-02-14 02:29:56,2025-02-15,2025-02-22,6,4694.0,782.33,4,2,2,2025-01-18 10:41:42,2025-10-06 11:07:50,0.5,1,10,4,2025-12-28,2025-12-28,True,2,0,2,12.98,2025-03-31 23:49:54,2025-11-22 05:25:11,2025-01-18 10:41:42,2025-12-28
UCR000044,4,3,CRM | ECOMMERCE | MARKETING,1,2,1,0,0,2,230.61,7,115.3,2.0,2025-11-23 12:12:10,2025-11-30 23:07:04,2025-11-29,2025-12-13,0,0.0,,0,0,0,,,0.0,1,1,0,2025-12-28,2025-12-28,False,0,0,0,,,,2025-11-23 12:12:10,2025-12-28
UCR000045,10,3,CRM | ECOMMERCE | ONLINE,1,3,0,6,0,3,369.19,7,123.06,3.0,2025-01-20 20:01:58,2025-02-12 18:26:52,2025-03-29,2025-09-20,6,2914.0,485.67,2,0,0,2025-02-01 06:46:12,2025-12-08 04:00:00,0.0,0,0,0,,,,0,0,0,,,,2025-01-20 20:01:58,2025-12-08 04:00:00
UCR000046,5,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1,2,0,1,1,2,104.95,2,52.48,2.0,2025-01-09 02:09:11,2025-01-18 08:54:02,2025-01-11,2025-06-14,1,858.0,858.0,0,0,0,2025-09-07 08:12:49,2025-09-07 08:12:49,0.0,0,0,0,,,,1,0,1,11.92,2025-08-16 04:10:07,2025-08-16 04:10:07,2025-01-09 02:09:11,2025-09-07 08:12:49
UCR000047,6,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,2,1,0,2,216.68,3,108.34,2.0,2025-01-03 09:33:30,2025-01-12 16:22:17,2025-01-04,2025-01-18,1,751.0,751.0,1,1,1,2025-01-03 09:26:15,2025-01-03 09:26:15,1.0,2,12,6,2025-01-09,2025-11-02,True,0,0,0,,,,2025-01-03 09:26:15,2025-11-02
UCR000048,4,3,CRM | ECOMMERCE | MARKETING,1,2,1,0,0,2,59.64,2,29.82,1.0,2025-08-25 22:47:03,2025-09-10 18:51:13,2025-10-04,2025-10-04,0,0.0,,0,0,0,,,0.0,1,7,1,2025-10-26,2025-10-26,True,0,0,0,,,,2025-08-25 22:47:03,2025-10-26
UCR000049,13,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,4,2,6,0,4,357.13,6,89.28,4.0,2025-01-10 08:49:35,2025-08-02 07:52:38,2025-01-18,2025-08-30,6,7483.0,1247.17,3,1,1,2025-01-10 08:34:34,2025-11-30 23:43:50,0.3333,2,23,12,2025-03-08,2025-12-12,True,0,0,0,,,,2025-01-10 08:34:34,2025-12-12
UCR000050,9,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,6,0,1,79.12,1,79.12,1.0,2025-03-21 22:55:11,2025-03-21 22:55:11,2025-03-29,2025-03-29,6,1718.0,286.33,2,1,1,2025-02-17 18:02:12,2025-09-30 10:34:04,0.5,1,4,1,2025-05-04,2025-05-04,False,0,0,0,,,,2025-02-17 18:02:12,2025-09-30 10:34:04
UCR000051,2,2,CRM | MARKETING,1,0,1,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,1,10,5,2025-08-07,2025-08-07,True,0,0,0,,,,2025-08-07,2025-08-07
UCR000052,4,2,CRM | ONLINE,1,0,0,3,0,0,0.0,0,,,,,,,3,583.0,194.33,2,0,0,2025-11-10 03:58:59,2025-12-13 20:08:37,0.0,0,0,0,,,,0,0,0,,,,2025-11-10 03:58:59,2025-12-13 20:08:37
UCR000053,9,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1,1,2,4,1,1,78.13,1,78.13,1.0,2025-10-03 04:29:51,2025-10-03 04:29:51,2025-11-22,2025-11-22,4,3161.0,790.25,0,0,0,2025-09-03 21:20:48,2025-12-10 06:54:46,0.0,2,16,8,2025-05-31,2025-11-11,True,1,1,0,,2025-07-15 09:34:24,2025-07-15 09:34:24,2025-05-31,2025-12-10 06:54:46
UCR000054,5,3,CRM | MARKETING | SUPPORT,1,0,3,0,1,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,3,13,1,2025-02-06,2025-06-05,True,1,0,1,40.63,2025-02-27 06:32:20,2025-02-27 06:32:20,2025-02-06,2025-06-05
UCR000055,6,3,CRM | ECOMMERCE | SUPPORT,1,2,0,0,3,2,91.72,3,45.86,2.0,2025-02-13 09:28:34,2025-09-26 08:36:20,2025-07-05,2025-10-11,0,0.0,,0,0,0,,,0.0,0,0,0,,,,3,2,1,20.75,2025-02-24 12:58:25,2025-10-03 00:18:58,2025-02-13 09:28:34,2025-10-03 00:18:58
UCR000056,9,3,CRM | ECOMMERCE | ONLINE,1,3,0,5,0,3,400.2,7,133.4,3.0,2025-01-05 21:22:55,2025-03-19 19:05:29,2025-04-26,2025-09-20,5,3555.0,711.0,1,1,1,2025-02-08 00:30:00,2025-09-15 04:57:41,1.0,0,0,0,,,,0,0,0,,,,2025-01-05 21:22:55,2025-09-15 04:57:41
UCR000057,2,2,CRM | MARKETING,1,0,1,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,1,3,1,2025-11-30,2025-11-30,True,0,0,0,,,,2025-11-30,2025-11-30
UCR000058,1,1,CRM,1,0,0,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,0,0,0,,,,0,0,0,,,,,
UCR000059,3,2,CRM | MARKETING,2,0,1,0,0,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,1,15,6,2025-07-16,2025-07-16,True,0,0,0,,,,2025-07-16,2025-07-16
UCR000060,5,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,1,1,2,0,1,61.38,1,61.38,1.0,2025-01-19 21:36:30,2025-01-19 21:36:30,2025-01-25,2025-01-25,2,4520.0,2260.0,1,1,1,2025-01-19 21:28:22,2025-10-20 07:54:58,1.0,1,6,0,2025-04-25,2025-04-25,True,0,0,0,,,,2025-01-19 21:28:22,2025-10-20 07:54:58
UCR000061,6,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,1,2,0,2,126.51,3,63.26,2.0,2025-01-20 14:46:00,2025-05-21 20:15:33,2025-03-01,2025-10-11,2,1493.0,746.5,2,1,1,2025-01-20 14:38:15,2025-08-29 04:35:43,0.5,1,3,1,2025-11-02,2025-11-02,True,0,0,0,,,,2025-01-20 14:38:15,2025-11-02
UCR000062,7,4,CRM | ECOMMERCE | MARKETING | ONLINE,1,2,2,2,0,2,96.08,2,48.04,2.0,2025-07-10 08:25:42,2025-07-11 07:57:37,2025-07-19,2025-07-26,2,672.0,336.0,2,1,1,2025-07-11 07:53:59,2025-12-09 12:41:40,0.5,2,6,0,2025-07-17,2025-10-05,True,0,0,0,,,,2025-07-10 08:25:42,2025-12-09 12:41:40
UCR000063,5,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1,2,1,0,1,2,92.7,3,46.35,2.0,2025-01-11 19:10:23,2025-04-26 09:21:58,2025-06-07,2025-08-16,0,0.0,,0,0,0,,,0.0,1,3,0,2025-11-02,2025-11-02,True,1,0,1,4.77,2025-03-29 02:23:53,2025-03-29 02:23:53,2025-01-11 19:10:23,2025-11-02
UCR000064,7,3,CRM | MARKETING | SUPPORT,1,0,2,0,4,0,0.0,0,,,,,,,0,0.0,,0,0,0,,,0.0,2,11,2,2025-03-26,2025-09-23,False,4,0,4,9.9,2025-03-01 21:33:46,2025-12-18 14:39:44,2025-03-01 21:33:46,2025-12-18 14:39:44
