source_system,source_record_id,session_id,guest_session,portal_user_id,session_date_time_start,session_date_time_end,session_duration_seconds,device_type,basket_created,basket_converted,linked_transaction_id
ONLINE,SES000001,SES000001,False,USR001219,2025-01-01 00:00:11,2025-01-01 00:17:38,1047,PC,True,True,TXN000002
ONLINE,SES000002,SES000002,True,,2025-01-01 00:24:56,2025-01-01 00:39:18,862,Mobile,True,True,TXN000005
ONLINE,SES000003,SES000003,True,,2025-01-01 00:25:27,2025-01-01 00:36:01,634,PC,True,True,TXN000004
ONLINE,SES000004,SES000004,False,USR002978,2025-01-01 00:28:26,2025-01-01 00:47:04,1118,Mobile,False,False,
ONLINE,SES000005,SES000005,True,,2025-01-01 00:38:26,2025-01-01 00:58:36,1210,PC,True,True,TXN000008
ONLINE,SES000006,SES000006,True,,2025-01-01 01:06:22,2025-01-01 01:18:40,738,Mobile,True,True,TXN000010
ONLINE,SES000007,SES000007,False,USR004037,2025-01-01 01:18:41,2025-01-01 01:26:11,450,PC,False,False,
ONLINE,SES000008,SES000008,True,,2025-01-01 01:31:38,2025-01-01 01:40:07,509,Mobile,True,True,TXN000015
ONLINE,SES000009,SES000009,True,,2025-01-01 01:33:18,2025-01-01 01:38:36,318,PC,True,True,TXN000014
ONLINE,SES000010,SES000010,False,USR001182,2025-01-01 01:43:23,2025-01-01 01:44:53,90,Mobile,True,False,
ONLINE,SES000011,SES000011,False,USR004065,2025-01-01 01:46:44,2025-01-01 02:35:26,2922,PC,True,True,TXN000020
ONLINE,SES000012,SES000012,False,USR000746,2025-01-01 01:54:09,2025-01-01 02:13:57,1188,Mobile,True,True,TXN000017
ONLINE,SES000013,SES000013,True,,2025-01-01 02:14:23,2025-01-01 02:45:19,1856,Mobile,True,False,
ONLINE,SES000014,SES000014,True,,2025-01-01 02:17:59,2025-01-01 02:27:07,548,Mobile,False,False,
ONLINE,SES000015,SES000015,False,USR003871,2025-01-01 02:21:12,2025-01-01 02:24:08,176,Mobile,True,False,
ONLINE,SES000016,SES000016,True,,2025-01-01 02:31:51,2025-01-01 02:52:28,1237,Mobile,True,True,TXN000022
ONLINE,SES000017,SES000017,False,USR000832,2025-01-01 02:46:44,2025-01-01 02:53:08,384,Mobile,True,True,TXN000023
ONLINE,SES000018,SES000018,True,,2025-01-01 02:48:36,2025-01-01 02:53:57,321,PC,False,False,
ONLINE,SES000019,SES000019,False,USR000112,2025-01-01 02:52:58,2025-01-01 02:57:59,301,Mobile,True,True,TXN000026
ONLINE,SES000020,SES000020,True,,2025-01-01 02:54:14,2025-01-01 02:57:37,203,Mobile,True,True,TXN000025
ONLINE,SES000021,SES000021,False,USR004016,2025-01-01 02:59:51,2025-01-01 03:25:53,1562,Mobile,True,True,TXN000028
ONLINE,SES000022,SES000022,True,,2025-01-01 03:23:27,2025-01-01 03:31:05,458,Mobile,False,False,
ONLINE,SES000023,SES000023,True,,2025-01-01 03:28:39,2025-01-01 04:08:11,2372,Mobile,True,True,TXN000034
ONLINE,SES000024,SES000024,True,,2025-01-01 03:50:15,2025-01-01 03:54:46,271,Mobile,True,True,TXN000033
ONLINE,SES000025,SES000025,True,,2025-01-01 03:52:30,2025-01-01 04:07:43,913,PC,True,True,TXN000037
ONLINE,SES000026,SES000026,True,,2025-01-01 03:57:55,2025-01-01 04:07:06,551,Mobile,False,False,
ONLINE,SES000027,SES000027,True,,2025-01-01 03:59:45,2025-01-01 04:25:32,1547,Mobile,True,True,TXN000040
ONLINE,SES000028,SES000028,True,,2025-01-01 04:05:34,2025-01-01 04:40:38,2104,Mobile,True,True,TXN000042
ONLINE,SES000029,SES000029,False,USR000088,2025-01-01 04:19:01,2025-01-01 04:34:14,913,PC,True,True,TXN000043
ONLINE,SES000030,SES000030,True,,2025-01-01 04:20:54,2025-01-01 04:28:35,461,PC,False,False,
ONLINE,SES000031,SES000031,True,,2025-01-01 04:30:29,2025-01-01 04:33:08,159,PC,True,True,TXN000044
ONLINE,SES000032,SES000032,True,,2025-01-01 04:31:30,2025-01-01 04:37:07,337,Mobile,True,True,TXN000046
ONLINE,SES000033,SES000033,False,USR003426,2025-01-01 04:31:49,2025-01-01 04:49:00,1031,Mobile,True,True,TXN000049
ONLINE,SES000034,SES000034,True,,2025-01-01 04:32:15,2025-01-01 04:39:19,424,Mobile,False,False,
ONLINE,SES000035,SES000035,True,,2025-01-01 04:38:45,2025-01-01 04:39:56,71,Mobile,False,False,
ONLINE,SES000036,SES000036,True,,2025-01-01 04:39:50,2025-01-01 04:47:01,431,PC,True,True,TXN000048
ONLINE,SES000037,SES000037,True,,2025-01-01 04:42:28,2025-01-01 04:59:52,1044,Mobile,False,False,
ONLINE,SES000038,SES000038,True,,2025-01-01 04:44:21,2025-01-01 05:23:45,2364,PC,True,True,TXN000051
ONLINE,SES000039,SES000039,True,,2025-01-01 04:51:59,2025-01-01 05:02:23,624,Mobile,True,True,TXN000050
ONLINE,SES000040,SES000040,True,,2025-01-01 04:55:00,2025-01-01 05:41:36,2796,Mobile,True,True,TXN000057
ONLINE,SES000041,SES000041,True,,2025-01-01 04:59:14,2025-01-01 05:25:21,1567,Mobile,False,False,
ONLINE,SES000042,SES000042,True,,2025-01-01 05:04:26,2025-01-01 05:07:38,192,PC,True,True,TXN000054
ONLINE,SES000043,SES000043,True,,2025-01-01 05:11:14,2025-01-01 05:25:18,844,PC,True,True,TXN000060
ONLINE,SES000044,SES000044,True,,2025-01-01 05:11:24,2025-01-01 05:20:13,529,Mobile,False,False,
ONLINE,SES000045,SES000045,False,USR002604,2025-01-01 05:19:28,2025-01-01 05:39:01,1173,Mobile,True,True,TXN000062
ONLINE,SES000046,SES000046,True,,2025-01-01 05:21:33,2025-01-01 05:37:05,932,Mobile,True,False,
ONLINE,SES000047,SES000047,False,USR000681,2025-01-01 05:22:23,2025-01-01 05:31:10,527,Mobile,True,True,TXN000061
ONLINE,SES000048,SES000048,False,USR001855,2025-01-01 05:28:19,2025-01-01 05:47:40,1161,PC,True,True,TXN000064
ONLINE,SES000049,SES000049,False,USR003904,2025-01-01 05:28:29,2025-01-01 06:14:18,2749,Mobile,True,True,TXN000069
ONLINE,SES000050,SES000050,True,,2025-01-01 05:29:09,2025-01-01 05:43:50,881,PC,True,True,TXN000063
ONLINE,SES000051,SES000051,True,,2025-01-01 05:36:12,2025-01-01 05:52:01,949,PC,True,True,TXN000068
ONLINE,SES000052,SES000052,False,USR001653,2025-01-01 05:36:47,2025-01-01 05:47:59,672,Mobile,True,True,TXN000066
ONLINE,SES000053,SES000053,True,,2025-01-01 05:41:24,2025-01-01 05:46:13,289,Mobile,False,False,
ONLINE,SES000054,SES000054,True,,2025-01-01 05:42:54,2025-01-01 05:51:45,531,Mobile,False,False,
ONLINE,SES000055,SES000055,True,,2025-01-01 05:46:28,2025-01-01 06:14:31,1683,Mobile,False,False,
ONLINE,SES000056,SES000056,True,,2025-01-01 05:59:29,2025-01-01 06:10:15,646,PC,False,False,
ONLINE,SES000057,SES000057,True,,2025-01-01 06:16:42,2025-01-01 06:37:06,1224,Mobile,False,False,
ONLINE,SES000058,SES000058,True,,2025-01-01 06:36:32,2025-01-01 06:48:27,715,PC,False,False,
ONLINE,SES000059,SES000059,True,,2025-01-01 06:49:36,2025-01-01 06:59:43,607,Mobile,False,False,
ONLINE,SES000060,SES000060,False,USR000297,2025-01-01 06:51:58,2025-01-01 07:11:25,1167,PC,True,True,TXN000079
ONLINE,SES000061,SES000061,False,USR002465,2025-01-01 06:56:07,2025-01-01 07:10:55,888,PC,False,False,
ONLINE,SES000062,SES000062,True,,2025-01-01 07:01:04,2025-01-01 07:15:21,857,PC,True,False,
ONLINE,SES000063,SES000063,True,,2025-01-01 07:13:01,2025-01-01 07:31:57,1136,Mobile,True,True,TXN000083
ONLINE,SES000064,SES000064,True,,2025-01-01 07:15:11,2025-01-01 07:20:41,330,Mobile,True,False,
ONLINE,SES000065,SES000065,True,,2025-01-01 07:26:30,2025-01-01 07:41:50,920,Mobile,False,False,
ONLINE,SES000066,SES000066,True,,2025-01-01 07:26:53,2025-01-01 07:40:44,831,Mobile,True,True,TXN000084
