transaction_id,ground_truth_id,guest_transaction,portal_user_id,available_portal_user_id,event_id,ticket_type,dq_missing_email,dq_missing_phone,dq_alternative_email,dq_email_typo,dq_name_typo,dq_historical_billing_address,dq_postcode_format_variation,dq_incorrect_phone,dq_cardholder_name_variation
TXN000001,GT008004,True,,,EVT0001,Standing,False,False,False,False,True,False,True,False,False
TXN000002,GT001581,False,USR001219,USR001219,EVT0014,Standing,False,False,False,False,False,False,False,False,False
TXN000003,GT007032,False,USR001326,USR001326,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000004,GT008990,True,,,EVT0035,Standing,False,False,False,False,False,False,False,False,False
TXN000005,GT002674,True,,,EVT0005,Standing,False,False,False,False,False,False,False,False,False
TXN000006,GT007276,True,,,EVT0012,Seated,True,False,False,False,False,False,False,False,False
TXN000007,GT003369,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000008,GT002886,True,,,EVT0012,Standing,False,False,False,False,False,False,False,False,False
TXN000009,GT005930,True,,,EVT0004,Standing,False,False,False,False,False,False,True,False,False
TXN000010,GT006042,True,,,EVT0001,Standing,False,True,False,False,True,False,False,False,True
TXN000011,GT007010,True,,,EVT0011,Standing,False,False,False,False,False,False,False,False,False
TXN000012,GT006737,True,,USR000455,EVT0020,Standing,False,False,False,False,False,False,False,False,False
TXN000013,GT004457,False,USR001143,USR001143,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000014,GT007701,True,,,EVT0001,Standing,False,True,False,False,False,False,False,False,False
TXN000015,GT006130,True,,USR000965,EVT0003,Seated,False,False,False,False,False,False,True,False,False
TXN000016,GT008089,True,,,EVT0042,Seated,False,False,False,False,False,False,False,False,False
TXN000017,GT005556,True,,USR000746,EVT0022,Standing,False,False,False,False,False,False,False,False,False
TXN000018,GT000414,True,,,EVT0001,Standing,False,False,False,False,False,False,False,False,False
TXN000019,GT000611,True,,,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000020,GT005271,False,USR004065,USR004065,EVT0003,Standing,False,False,False,False,False,False,False,False,False
TXN000021,GT007583,True,,USR000926,EVT0002,Standing,False,False,False,False,False,False,False,False,False
TXN000022,GT003333,True,,,EVT0008,Standing,False,False,False,False,False,False,False,False,False
TXN000023,GT008676,False,USR000832,USR000832,EVT0001,Seated,False,False,False,False,False,False,False,False,False
TXN000024,GT002275,False,USR002139,USR002139,EVT0030,Standing,False,False,False,False,False,False,False,False,False
TXN000025,GT003037,True,,,EVT0035,Standing,False,False,False,True,False,False,True,False,False
TXN000026,GT009546,False,USR000112,USR000112,EVT0013,Standing,False,False,False,False,False,False,False,False,False
TXN000027,GT007698,True,,USR002442,EVT0002,Seated,False,False,False,False,False,False,True,False,False
TXN000028,GT005760,False,USR004016,USR004016,EVT0004,Standing,False,False,False,False,False,False,True,False,False
TXN000029,GT006595,True,,,EVT0034,Standing,False,False,False,False,False,False,False,False,False
TXN000030,GT002213,True,,,EVT0001,Standing,False,False,False,False,False,False,False,True,False
TXN000031,GT003347,False,USR002724,USR002724,EVT0029,Seated,False,False,False,False,False,False,False,False,False
TXN000032,GT007885,True,,,EVT0016,Standing,False,True,True,False,False,False,False,False,False
TXN000033,GT003363,True,,,EVT0004,Standing,False,False,False,False,False,False,False,False,False
TXN000034,GT007567,True,,,EVT0006,Standing,False,False,False,False,False,False,False,False,True
