marketing_contact_id,ground_truth_id,customer_segment,is_repeat_contact,consent_status,dq_duplicate_contact,dq_missing_contact_name,dq_contact_name_typo,dq_alternative_email,dq_outdated_email,dq_incomplete_postcode,dq_outdated_postcode,dq_alternative_postcode
MKT000001,GT007847,Regular,True,True,True,False,False,False,False,False,False,False
MKT000002,GT002212,Occasional,True,True,True,False,False,False,False,True,False,False
MKT000003,GT004804,Regular,False,False,False,False,False,False,False,False,False,False
MKT000004,GT001242,Occasional,False,False,False,False,False,False,False,False,False,False
MKT000005,GT008642,VIP,True,True,True,False,False,False,False,False,False,False
MKT000006,GT007591,Occasional,False,True,False,False,False,False,False,False,False,False
MKT000007,GT006169,Regular,False,False,False,False,False,False,False,True,False,False
MKT000008,GT006803,Regular,False,True,False,False,False,False,False,False,False,False
MKT000009,GT009895,Occasional,True,True,True,False,False,False,False,False,False,False
MKT000010,GT008582,VIP,False,True,False,False,False,True,False,False,False,False
MKT000011,GT006509,Occasional,False,False,False,False,False,False,False,False,False,False
MKT000012,GT003808,Occasional,False,True,False,False,False,False,False,False,False,False
MKT000013,GT005246,Regular,False,True,False,False,False,False,False,False,False,False
MKT000014,GT009833,Occasional,True,True,True,True,False,False,False,False,False,False
MKT000015,GT001202,Regular,True,True,True,False,False,False,False,False,False,False
MKT000016,GT003038,Regular,True,True,True,False,False,False,False,False,False,True
MKT000017,GT009421,Regular,False,True,False,False,False,False,False,False,False,False
MKT000018,GT007300,Occasional,False,False,False,False,False,False,False,False,False,False
MKT000019,GT005831,Occasional,True,True,True,False,False,False,True,False,False,False
MKT000020,GT008465,VIP,False,True,False,False,False,False,False,False,False,False
MKT000021,GT002793,Regular,False,True,False,False,False,False,False,False,False,False
MKT000022,GT000541,Occasional,False,True,False,False,False,False,False,False,False,False
MKT000023,GT003486,VIP,True,True,True,False,False,False,False,False,False,False
MKT000024,GT009036,Occasional,False,True,False,False,False,False,False,False,False,True
MKT000025,GT002584,Occasional,False,True,False,False,False,False,False,False,False,False
MKT000026,GT006190,Occasional,True,True,True,False,False,False,False,False,False,False
MKT000027,GT009268,Regular,False,True,False,False,False,False,False,False,False,False
MKT000028,GT001868,Occasional,False,False,False,False,False,False,False,False,False,False
MKT000029,GT003691,Occasional,False,True,False,False,False,False,False,False,False,False
MKT000030,GT000739,Occasional,False,True,False,False,False,False,False,False,False,False
MKT000031,GT003522,Occasional,False,False,False,False,False,False,False,False,False,False
MKT000032,GT008120,Regular,False,False,False,False,False,False,False,False,False,False
MKT000033,GT004023,Regular,False,False,False,False,False,False,False,False,False,False
MKT000034,GT000698,Regular,False,False,False,False,False,False,False,False,False,False
MKT000035,GT004414,Regular,True,True,True,False,False,False,False,False,False,False
MKT000036,GT000126,Regular,True,True,True,False,False,False,False,False,False,False
MKT000037,GT000431,Regular,False,True,False,False,True,False,False,False,False,False
MKT000038,GT005243,VIP,False,True,False,False,False,False,False,False,False,False
MKT000039,GT003871,Occasional,False,False,False,False,False,False,False,False,True,False
MKT000040,GT008759,Regular,False,False,False,False,False,False,False,False,False,False
MKT000041,GT002150,Regular,False,True,False,False,True,False,False,False,False,False
MKT000042,GT002536,Occasional,False,True,False,False,False,False,False,False,False,False
MKT000043,GT003540,Occasional,False,False,False,False,False,False,False,False,True,False
MKT000044,GT008734,Occasional,False,True,False,False,False,False,False,False,False,False
MKT000045,GT009646,Regular,True,True,True,False,False,False,False,False,True,False
MKT000046,GT007058,Occasional,True,True,True,False,False,False,True,False,False,False
MKT000047,GT003117,VIP,True,True,True,False,False,False,False,False,False,False
MKT000048,GT009416,Occasional,False,True,False,False,False,False,False,False,False,False
MKT000049,GT001887,Occasional,True,False,True,False,False,False,False,False,True,False
