session_id,ground_truth_id,customer_segment,guest_session,portal_user_id,available_portal_user_id,basket_created,basket_converted,linked_transaction_id
SES000001,GT001581,VIP,False,USR001219,USR001219,True,True,TXN000002
SES000002,GT002674,Regular,True,,,True,True,TXN000005
SES000003,GT008990,Occasional,True,,,True,True,TXN000004
SES000004,GT001108,VIP,False,USR002978,USR002978,False,False,
SES000005,GT002886,Regular,True,,,True,True,TXN000008
SES000006,GT006042,Regular,True,,,True,True,TXN000010
SES000007,GT000786,Occasional,False,USR004037,USR004037,False,False,
SES000008,GT006130,Regular,True,,USR000965,True,True,TXN000015
SES000009,GT007701,Occasional,True,,,True,True,TXN000014
SES000010,GT000663,VIP,False,USR001182,USR001182,True,False,
SES000011,GT005271,VIP,False,USR004065,USR004065,True,True,TXN000020
SES000012,GT005556,Regular,False,USR000746,USR000746,True,True,TXN000017
SES000013,GT005528,Occasional,True,,,True,False,
SES000014,GT007657,Occasional,True,,,False,False,
SES000015,GT004338,Regular,False,USR003871,USR003871,True,False,
SES000016,GT003333,Occasional,True,,,True,True,TXN000022
SES000017,GT008676,Occasional,False,USR000832,USR000832,True,True,TXN000023
SES000018,GT002677,Occasional,True,,,False,False,
SES000019,GT009546,Regular,False,USR000112,USR000112,True,True,TXN000026
SES000020,GT003037,Occasional,True,,,True,True,TXN000025
SES000021,GT005760,Occasional,False,USR004016,USR004016,True,True,TXN000028
SES000022,GT005599,VIP,True,,,False,False,
SES000023,GT007567,Occasional,True,,,True,True,TXN000034
SES000024,GT003363,Occasional,True,,,True,True,TXN000033
SES000025,GT003652,Occasional,True,,,True,True,TXN000037
SES000026,GT001155,Occasional,True,,,False,False,
SES000027,GT009047,VIP,True,,,True,True,TXN000040
SES000028,GT009288,Occasional,True,,,True,True,TXN000042
SES000029,GT008050,Occasional,False,USR000088,USR000088,True,True,TXN000043
SES000030,GT001110,Regular,True,,,False,False,
SES000031,GT000496,Occasional,True,,,True,True,TXN000044
SES000032,GT009787,Occasional,True,,,True,True,TXN000046
SES000033,GT003510,Occasional,False,USR003426,USR003426,True,True,TXN000049
SES000034,GT000612,Occasional,True,,,False,False,
SES000035,GT005918,Occasional,True,,,False,False,
SES000036,GT004383,VIP,True,,,True,True,TXN000048
SES000037,GT001656,Regular,True,,,False,False,
SES000038,GT007749,Regular,True,,,True,True,TXN000051
SES000039,GT006051,Occasional,True,,,True,True,TXN000050
SES000040,GT003406,Regular,True,,,True,True,TXN000057
SES000041,GT003957,VIP,True,,,False,False,
SES000042,GT001715,Occasional,True,,,True,True,TXN000054
SES000043,GT000454,Occasional,True,,,True,True,TXN000060
SES000044,GT000807,Regular,True,,,False,False,
SES000045,GT003120,VIP,False,USR002604,USR002604,True,True,TXN000062
SES000046,GT007482,VIP,True,,,True,False,
SES000047,GT000206,Occasional,False,USR000681,USR000681,True,True,TXN000061
SES000048,GT007182,Regular,False,USR001855,USR001855,True,True,TXN000064
SES000049,GT009924,Regular,False,USR003904,USR003904,True,True,TXN000069
SES000050,GT007178,Occasional,True,,,True,True,TXN000063
SES000051,GT003484,Occasional,True,,,True,True,TXN000068
SES000052,GT004475,Occasional,False,USR001653,USR001653,True,True,TXN000066
SES000053,GT005593,Regular,True,,USR003450,False,False,
SES000054,GT001926,Regular,True,,USR001728,False,False,
