ground_truth_id,portal_user_id
GT009431,USR000001
GT009230,USR000002
GT009732,USR000003
GT002257,USR000004
GT008057,USR000005
GT006803,USR000006
GT004714,USR000007
GT000306,USR000008
GT008949,USR000009
GT005737,USR000010
GT003913,USR000011
GT005083,USR000012
GT003718,USR000013
GT002518,USR000014
GT008411,USR000015
GT008183,USR000016
GT006668,USR000017
GT009699,USR000018
GT002464,USR000019
GT009557,USR000020
GT007855,USR000021
GT003702,USR000022
GT004704,USR000023
GT004625,USR000024
GT000928,USR000025
GT004926,USR000026
GT002302,USR000027
GT000936,USR000028
GT000918,USR000029
GT002169,USR000030
GT001798,USR000031
GT005683,USR000032
GT009662,USR000033
GT004589,USR000034
GT006437,USR000035
GT001565,USR000036
GT006748,USR000037
GT000252,USR000038
GT000616,USR000039
GT009013,USR000040
GT002953,USR000041
GT005283,USR000042
GT004823,USR000043
GT009509,USR000044
GT003597,USR000045
GT008524,USR000046
GT009920,USR000047
GT008706,USR000048
GT005102,USR000049
GT005422,USR000050
GT000923,USR000051
GT008813,USR000052
GT000651,USR000053
GT003823,USR000054
GT001634,USR000055
GT001842,USR000056
GT005872,USR000057
GT007809,USR000058
GT003846,USR000059
GT004216,USR000060
GT009020,USR000061
GT003757,USR000062
GT005881,USR000063
GT004411,USR000064
GT003396,USR000065
GT000318,USR000066
GT001001,USR000067
GT002361,USR000068
GT009587,USR000069
GT003767,USR000070
GT006897,USR000071
GT003086,USR000072
GT006952,USR000073
GT000775,USR000074
GT006402,USR000075
GT004754,USR000076
GT002907,USR000077
GT000226,USR000078
GT009098,USR000079
GT004800,USR000080
GT005929,USR000081
GT008287,USR000082
GT005823,USR000083
GT002980,USR000084
GT002965,USR000085
GT003573,USR000086
GT007695,USR000087
GT008050,USR000088
GT001982,USR000089
GT001435,USR000090
GT009386,USR000091
GT003480,USR000092
GT003274,USR000093
GT008239,USR000094
GT002357,USR000095
GT001555,USR000096
GT008508,USR000097
GT002280,USR000098
GT004313,USR000099
GT007037,USR000100
GT009721,USR000101
GT008122,USR000102
GT003659,USR000103
GT000886,USR000104
GT000827,USR000105
GT002529,USR000106
GT006464,USR000107
GT002865,USR000108
GT006623,USR000109
GT005319,USR000110
GT009900,USR000111
GT009546,USR000112
GT003577,USR000113
GT001723,USR000114
GT006814,USR000115
GT009179,USR000116
GT002465,USR000117
GT009548,USR000118
GT009197,USR000119
GT005132,USR000120
GT005509,USR000121
GT003543,USR000122
GT009852,USR000123
GT005089,USR000124
GT008072,USR000125
GT001613,USR000126
GT005899,USR000127
GT009868,USR000128
GT002728,USR000129
GT007373,USR000130
GT007312,USR000131
GT008767,USR000132
GT009148,USR000133
GT000931,USR000134
GT000371,USR000135
GT005681,USR000136
GT006739,USR000137
GT009823,USR000138
GT006810,USR000139
GT003352,USR000140
GT005003,USR000141
GT000537,USR000142
GT004065,USR000143
GT005376,USR000144
GT007795,USR000145
GT001910,USR000146
GT002771,USR000147
GT002503,USR000148
GT000374,USR000149
GT009565,USR000150
GT003279,USR000151
GT008807,USR000152
GT000219,USR000153
GT001066,USR000154
GT000187,USR000155
GT000304,USR000156
GT000026,USR000157
GT007173,USR000158
GT009280,USR000159
GT007553,USR000160
GT007681,USR000161
GT005227,USR000162
GT000562,USR000163
GT001203,USR000164
GT003277,USR000165
GT001369,USR000166
GT000696,USR000167
GT000793,USR000168
GT007635,USR000169
GT003200,USR000170
GT006922,USR000171
GT006141,USR000172
GT002812,USR000173
GT003928,USR000174
GT002973,USR000175
GT007905,USR000176
GT002383,USR000177
GT004930,USR000178
GT000881,USR000179
GT003855,USR000180
GT008429,USR000181
GT006229,USR000182
GT005644,USR000183
GT000812,USR000184
GT003008,USR000185
GT004781,USR000186
GT007121,USR000187
GT004775,USR000188
GT000592,USR000189
GT000872,USR000190
GT003125,USR000191
GT009334,USR000192
GT007813,USR000193
GT002118,USR000194
GT009399,USR000195
GT005565,USR000196
GT004070,USR000197
GT001993,USR000198
GT008117,USR000199
GT000370,USR000200
GT004336,USR000201
GT000848,USR000202
GT003152,USR000203
GT009252,USR000204
GT003027,USR000205
GT009874,USR000206
GT001387,USR000207
GT007279,USR000208
GT000164,USR000209
GT001291,USR000210
GT004347,USR000211
GT004298,USR000212
GT002710,USR000213
GT007530,USR000214
GT001811,USR000215
GT000436,USR000216
GT008424,USR000217
GT005967,USR000218
GT007352,USR000219
GT005393,USR000220
GT000601,USR000221
GT007103,USR000222
GT008894,USR000223
GT002655,USR000224
GT009916,USR000225
GT001313,USR000226
GT008087,USR000227
GT002007,USR000228
GT002512,USR000229
GT001931,USR000230
GT000929,USR000231
GT007690,USR000232
GT005601,USR000233
GT000099,USR000234
GT005188,USR000235
GT002515,USR000236
GT008598,USR000237
GT008030,USR000238
GT003520,USR000239
GT004019,USR000240
GT000648,USR000241
GT004162,USR000242
GT006660,USR000243
GT005754,USR000244
GT009598,USR000245
GT003241,USR000246
GT007112,USR000247
GT006433,USR000248
GT003297,USR000249
GT009777,USR000250
GT009946,USR000251
GT006969,USR000252
GT008311,USR000253
GT005993,USR000254
GT009051,USR000255
GT005513,USR000256
GT005199,USR000257
GT001616,USR000258
GT003338,USR000259
GT001259,USR000260
GT007436,USR000261
GT007825,USR000262
GT006007,USR000263
GT008501,USR000264
GT001598,USR000265
GT002313,USR000266
GT005791,USR000267
GT004751,USR000268
GT009337,USR000269
GT003318,USR000270
GT000689,USR000271
GT001788,USR000272
GT004255,USR000273
GT006215,USR000274
GT009885,USR000275
GT006851,USR000276
GT001075,USR000277
GT005265,USR000278
GT006998,USR000279
GT004683,USR000280
GT001690,USR000281
GT003482,USR000282
GT000411,USR000283
GT008293,USR000284
GT009011,USR000285
GT007917,USR000286
GT003924,USR000287
GT003632,USR000288
GT004784,USR000289
GT001492,USR000290
GT002006,USR000291
GT009006,USR000292
GT000192,USR000293
GT005113,USR000294
GT000617,USR000295
GT002957,USR000296
GT008058,USR000297
GT001096,USR000298
GT000699,USR000299
GT001751,USR000300
GT006322,USR000301
GT004827,USR000302
GT002774,USR000303
GT001206,USR000304
GT009069,USR000305
GT007283,USR000306
GT006166,USR000307
GT008993,USR000308
GT000392,USR000309
GT002727,USR000310
GT001266,USR000311
GT009802,USR000312
GT001312,USR000313
GT004373,USR000314
GT006480,USR000315
GT002134,USR000316
GT008096,USR000317
GT001727,USR000318
GT005981,USR000319
GT005273,USR000320
GT002403,USR000321
GT001362,USR000322
GT000407,USR000323
GT008425,USR000324
GT009392,USR000325
GT009925,USR000326
GT005741,USR000327
GT001174,USR000328
GT006493,USR000329
GT006901,USR000330
GT001697,USR000331
GT005119,USR000332
GT009032,USR000333
GT000290,USR000334
GT002932,USR000335
GT006184,USR000336
GT009625,USR000337
GT008974,USR000338
GT003535,USR000339
GT002074,USR000340
GT007644,USR000341
GT005440,USR000342
GT009174,USR000343
GT003110,USR000344
GT009349,USR000345
GT001042,USR000346
GT007919,USR000347
GT004803,USR000348
GT001954,USR000349
GT000223,USR000350
GT005579,USR000351
GT009138,USR000352
GT002041,USR000353
GT006635,USR000354
GT002572,USR000355
GT005300,USR000356
GT001069,USR000357
GT004947,USR000358
GT007857,USR000359
GT004941,USR000360
GT003719,USR000361
GT005676,USR000362
GT005541,USR000363
GT005810,USR000364
GT003608,USR000365
GT004429,USR000366
GT003619,USR000367
GT000250,USR000368
GT000672,USR000369
GT004744,USR000370
GT001401,USR000371
GT006331,USR000372
GT009272,USR000373
GT008266,USR000374
GT003528,USR000375
GT007156,USR000376
GT007601,USR000377
GT008605,USR000378
GT006061,USR000379
GT002638,USR000380
GT007451,USR000381
GT006159,USR000382
GT006884,USR000383
GT008086,USR000384
GT002994,USR000385
GT004619,USR000386
GT007405,USR000387
GT008709,USR000388
GT004172,USR000389
GT003100,USR000390
GT005248,USR000391
GT002459,USR000392
GT002576,USR000393
GT006500,USR000394
GT008016,USR000395
GT006572,USR000396
GT000943,USR000397
GT001940,USR000398
GT004804,USR000399
GT000552,USR000400
GT000847,USR000401
GT005361,USR000402
GT001663,USR000403
GT007107,USR000404
GT004401,USR000405
GT008184,USR000406
GT003500,USR000407
GT002005,USR000408
GT009169,USR000409
GT008384,USR000410
GT002468,USR000411
GT007076,USR000412
GT001522,USR000413
GT005434,USR000414
GT005360,USR000415
GT008246,USR000416
GT009616,USR000417
GT007574,USR000418
GT002037,USR000419
GT003856,USR000420
GT001886,USR000421
GT008267,USR000422
