support_ticket_id,ground_truth_id,customer_segment,customer_age,intended_issue_category,contact_channel,issue_category,dq_name_typo,dq_email_typo,dq_phone_error,dq_missing_email,dq_missing_phone,dq_incorrect_issue_category
SUP000001,GT000106,Occasional,38,Complaint,Email,Complaint,False,True,False,False,False,False
SUP000002,GT003584,Regular,55,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000003,GT006505,Occasional,67,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000004,GT007770,Occasional,66,Refund request,Phone,Refund request,False,False,True,False,False,False
SUP000005,GT007993,Regular,33,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000006,GT007834,Regular,69,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000007,GT006062,Regular,61,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000008,GT000065,Occasional,64,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000009,GT007697,VIP,22,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000010,GT005117,Occasional,27,Accessibility,Email,Refund request,False,False,False,False,False,True
SUP000011,GT007628,Regular,39,Complaint,Email,Complaint,True,False,False,False,False,False
SUP000012,GT005124,Regular,31,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000013,GT003229,Occasional,62,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000014,GT006685,Occasional,71,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000015,GT000723,Occasional,44,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000016,GT000744,Occasional,34,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000017,GT000121,VIP,45,Refund request,Email,Refund request,False,True,False,False,True,False
SUP000018,GT001185,Regular,35,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000019,GT003024,Occasional,23,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000020,GT002889,Regular,70,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000021,GT005590,Regular,45,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000022,GT006400,Occasional,45,Refund request,Email,Refund request,False,False,True,False,False,False
SUP000023,GT005226,Regular,57,Refund request,Email,Complaint,False,False,False,False,False,True
SUP000024,GT000146,Regular,59,Accessibility,Phone,Accessibility,False,False,False,True,False,False
SUP000025,GT001038,Occasional,56,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000026,GT000553,Occasional,31,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000027,GT006284,New,19,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000028,GT004162,Occasional,22,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000029,GT005670,Regular,22,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000030,GT006571,Occasional,65,Accessibility,Email,Accessibility,False,True,False,False,True,False
SUP000031,GT003688,Regular,30,Refund request,Email,Accessibility,False,False,False,False,False,True
SUP000032,GT004417,Regular,36,Complaint,Phone,Complaint,False,False,False,True,False,False
SUP000033,GT008929,Occasional,60,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000034,GT008260,Regular,33,Enquiry,Email,Enquiry,False,True,False,False,True,False
SUP000035,GT009888,Regular,63,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000036,GT008103,Occasional,53,Refund request,Email,Enquiry,False,False,False,False,True,True
SUP000037,GT002837,Regular,53,Refund request,Phone,Refund request,False,False,False,True,False,False
SUP000038,GT005444,Regular,32,Refund request,Email,Refund request,False,False,False,False,True,False
SUP000039,GT005139,Regular,43,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000040,GT006907,Occasional,46,Enquiry,Email,Enquiry,False,False,True,False,False,False
SUP000041,GT000939,Occasional,79,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000042,GT005814,Regular,70,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000043,GT009413,Occasional,33,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000044,GT003183,Regular,34,Complaint,Email,Complaint,False,False,True,False,False,False
SUP000045,GT007781,Occasional,36,Complaint,Email,Complaint,False,False,True,False,False,False
SUP000046,GT007128,Occasional,52,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000047,GT009577,Occasional,25,Enquiry,Email,Enquiry,False,False,True,False,False,False
SUP000048,GT002636,Occasional,23,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000049,GT000104,Regular,85,Enquiry,Email,Enquiry,True,False,False,False,True,False
SUP000050,GT004550,Regular,36,Complaint,Email,Complaint,False,False,False,False,True,False
SUP000051,GT006158,Occasional,84,Accessibility,Email,Accessibility,False,False,False,False,True,False
SUP000052,GT009333,VIP,52,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000053,GT006369,Regular,27,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000054,GT009783,Regular,35,Enquiry,Phone,Enquiry,False,False,False,True,False,False
SUP000055,GT009370,Regular,23,Complaint,Email,Complaint,False,False,False,False,True,False
SUP000056,GT006700,Occasional,27,Complaint,Email,Complaint,False,True,False,False,False,False
SUP000057,GT000057,Regular,42,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000058,GT001885,Regular,55,Enquiry,Email,Enquiry,False,False,False,False,False,False
SUP000059,GT004489,Regular,23,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000060,GT004494,VIP,20,Accessibility,Email,Refund request,False,False,False,False,False,True
SUP000061,GT004721,Regular,75,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000062,GT004669,Regular,48,Complaint,Email,Complaint,False,False,False,False,True,False
SUP000063,GT000548,Regular,67,Enquiry,Phone,Enquiry,False,False,False,False,False,False
SUP000064,GT008993,VIP,30,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000065,GT009715,Occasional,45,Enquiry,Email,Enquiry,False,True,False,False,False,False
SUP000066,GT002372,Regular,51,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000067,GT004238,Occasional,47,Refund request,Phone,Refund request,False,False,False,False,False,False
SUP000068,GT009703,Occasional,59,Accessibility,Email,Accessibility,False,False,False,False,True,False
SUP000069,GT009446,Regular,63,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000070,GT001642,Regular,77,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000071,GT000334,Occasional,67,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000072,GT000110,Regular,57,Accessibility,Phone,Accessibility,False,False,True,False,False,False
SUP000073,GT002808,Occasional,43,Complaint,Phone,Complaint,False,False,False,False,False,False
SUP000074,GT007954,Regular,45,Accessibility,Email,Accessibility,False,False,False,False,False,False
SUP000075,GT004029,Occasional,37,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000076,GT006673,Occasional,33,Enquiry,Email,Enquiry,False,False,False,False,True,False
SUP000077,GT001431,Regular,83,Accessibility,Phone,Accessibility,False,False,False,False,False,False
SUP000078,GT007531,Regular,32,Refund request,Email,Refund request,False,False,False,False,False,False
SUP000079,GT009543,Occasional,24,Complaint,Email,Complaint,False,False,False,False,False,False
SUP000080,GT008691,Regular,51,Accessibility,Email,Accessibility,False,False,False,False,False,False
