metric,value
INPUT VALIDATION,
input_records,78302
input_columns,72
source_systems,5
staging_record_ids_unique,True
source_record_ids_unique,True
ground_truth_columns_excluded,True
,
MATCHING POPULATION,
eligible_records,56521
anonymous_unresolvable_records,21781
,
RULE RESULTS,
D01_candidate_pairs,6460
D01_accepted_merges,6460
D01_rejected_merges,0
D01_already_linked_pairs,0
D02_candidate_pairs,71417
D02_accepted_merges,17217
D02_rejected_merges,0
D02_already_linked_pairs,54200
D03_candidate_pairs,49930
D03_accepted_merges,17962
D03_rejected_merges,0
D03_already_linked_pairs,31968
D04_candidate_pairs,18631
D04_accepted_merges,410
D04_rejected_merges,0
D04_already_linked_pairs,18221
D05_candidate_pairs,32597
D05_accepted_merges,949
D05_rejected_merges,0
D05_already_linked_pairs,31648
D06_candidate_pairs,22130
D06_accepted_merges,1575
D06_rejected_merges,0
D06_already_linked_pairs,20555
D07_candidate_pairs,15266
D07_accepted_merges,215
D07_rejected_merges,0
D07_already_linked_pairs,15051
D08_candidate_pairs,35858
D08_accepted_merges,980
D08_rejected_merges,0
D08_already_linked_pairs,34878
D09_candidate_pairs,186
D09_accepted_merges,0
D09_rejected_merges,0
D09_already_linked_pairs,186
D10_candidate_pairs,170
D10_accepted_merges,0
D10_rejected_merges,0
D10_already_linked_pairs,170
,
CLUSTER RESULTS,
accepted_deterministic_merges,45768
rejected_deterministic_merges,0
deterministically_linked_records,55205
deterministic_clusters,9437
eligible_singleton_records,1316
all_provisional_clusters,10753
largest_deterministic_cluster,22
,
OUTPUT VALIDATION,
record_mapping_rows,78302
mapping_reconciles_to_input,True
pairwise_match_rows,45768
rejected_match_rows,0
unresolved_output_rows,1316
unresolved_excludes_anonymous_records,True
