automatic_match_threshold,minimum_evidence_coverage,predicted_matches,true_positives,false_positives,scored_false_negatives,missed_by_blocking,end_to_end_false_negatives,precision,scored_candidate_recall,end_to_end_recall,end_to_end_f1
0.8,0.5,623,195,428,90,324,414,0.313002,0.684211,0.320197,0.316558
0.8,0.55,140,106,34,179,324,503,0.757143,0.37193,0.174056,0.283044
0.8,0.6,138,104,34,181,324,505,0.753623,0.364912,0.170772,0.278447
0.8,0.65,43,43,0,242,324,566,1.0,0.150877,0.070608,0.131902
0.8,0.7,30,30,0,255,324,579,1.0,0.105263,0.049261,0.093897
0.8,0.75,28,28,0,257,324,581,1.0,0.098246,0.045977,0.087912
0.8,0.8,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.8,0.85,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.8,0.9,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.81,0.5,547,195,352,90,324,414,0.35649,0.684211,0.320197,0.33737
0.81,0.55,137,106,31,179,324,503,0.773723,0.37193,0.174056,0.284182
0.81,0.6,135,104,31,181,324,505,0.77037,0.364912,0.170772,0.27957
0.81,0.65,43,43,0,242,324,566,1.0,0.150877,0.070608,0.131902
0.81,0.7,30,30,0,255,324,579,1.0,0.105263,0.049261,0.093897
0.81,0.75,28,28,0,257,324,581,1.0,0.098246,0.045977,0.087912
0.81,0.8,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.81,0.85,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.81,0.9,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.82,0.5,473,195,278,90,324,414,0.412262,0.684211,0.320197,0.360444
0.82,0.55,134,106,28,179,324,503,0.791045,0.37193,0.174056,0.28533
0.82,0.6,132,104,28,181,324,505,0.787879,0.364912,0.170772,0.280702
0.82,0.65,43,43,0,242,324,566,1.0,0.150877,0.070608,0.131902
0.82,0.7,30,30,0,255,324,579,1.0,0.105263,0.049261,0.093897
0.82,0.75,28,28,0,257,324,581,1.0,0.098246,0.045977,0.087912
0.82,0.8,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.82,0.85,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.82,0.9,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.83,0.5,398,195,203,90,324,414,0.48995,0.684211,0.320197,0.387289
0.83,0.55,132,106,26,179,324,503,0.80303,0.37193,0.174056,0.2861
0.83,0.6,130,104,26,181,324,505,0.8,0.364912,0.170772,0.281461
0.83,0.65,43,43,0,242,324,566,1.0,0.150877,0.070608,0.131902
0.83,0.7,30,30,0,255,324,579,1.0,0.105263,0.049261,0.093897
0.83,0.75,28,28,0,257,324,581,1.0,0.098246,0.045977,0.087912
0.83,0.8,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.83,0.85,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.83,0.9,18,18,0,267,324,591,1.0,0.063158,0.029557,0.057416
0.84,0.5,341,192,149,93,324,417,0.56305,0.673684,0.315271,0.404211
0.84,0.55,123,103,20,182,324,506,0.837398,0.361404,0.16913,0.281421
0.84,0.6,121,101,20,184,324,508,0.834711,0.354386,0.165846,0.276712
0.84,0.65,41,41,0,244,324,568,1.0,0.14386,0.067323,0.126154
0.84,0.7,28,28,0,257,324,581,1.0,0.098246,0.045977,0.087912
0.84,0.75,27,27,0,258,324,582,1.0,0.094737,0.044335,0.084906
0.84,0.8,17,17,0,268,324,592,1.0,0.059649,0.027915,0.054313
0.84,0.85,17,17,0,268,324,592,1.0,0.059649,0.027915,0.054313
0.84,0.9,17,17,0,268,324,592,1.0,0.059649,0.027915,0.054313
0.85,0.5,307,190,117,95,324,419,0.618893,0.666667,0.311987,0.414847
0.85,0.55,117,101,16,184,324,508,0.863248,0.354386,0.165846,0.278237
0.85,0.6,115,99,16,186,324,510,0.86087,0.347368,0.162562,0.273481
