ground_truth_id,evaluation_split
GT000001,calibration
GT000002,calibration
GT000003,calibration
GT000004,anonymous_only
GT000005,calibration
GT000006,calibration
GT000007,calibration
GT000008,evaluation
GT000009,calibration
GT000010,calibration
GT000011,evaluation
GT000012,calibration
GT000013,calibration
GT000014,calibration
GT000015,calibration
GT000016,calibration
GT000017,calibration
GT000018,calibration
GT000019,calibration
GT000020,evaluation
GT000021,calibration
GT000022,calibration
GT000023,calibration
GT000024,calibration
GT000025,calibration
GT000026,evaluation
GT000027,evaluation
GT000028,calibration
GT000029,evaluation
GT000030,evaluation
GT000031,calibration
GT000032,calibration
GT000033,calibration
GT000034,calibration
GT000035,calibration
GT000036,calibration
GT000037,evaluation
GT000038,calibration
GT000039,calibration
GT000040,calibration
GT000041,calibration
GT000042,calibration
GT000043,calibration
GT000044,evaluation
GT000045,evaluation
GT000046,calibration
GT000047,calibration
GT000048,evaluation
GT000049,calibration
GT000050,calibration
GT000051,calibration
GT000052,calibration
GT000053,calibration
GT000054,evaluation
GT000055,evaluation
GT000056,evaluation
GT000057,evaluation
GT000058,calibration
GT000059,calibration
GT000060,evaluation
GT000061,calibration
GT000062,calibration
GT000063,calibration
GT000064,calibration
GT000065,calibration
GT000066,calibration
GT000067,calibration
GT000068,evaluation
GT000069,calibration
GT000070,calibration
GT000071,calibration
GT000072,calibration
GT000073,calibration
GT000074,calibration
GT000075,calibration
GT000076,evaluation
GT000077,evaluation
GT000078,calibration
GT000079,evaluation
GT000080,calibration
GT000081,calibration
GT000082,calibration
GT000083,calibration
GT000084,calibration
GT000085,calibration
GT000086,calibration
GT000087,calibration
GT000088,evaluation
GT000089,calibration
GT000090,calibration
GT000091,calibration
GT000092,anonymous_only
GT000093,evaluation
GT000094,calibration
GT000095,calibration
GT000096,evaluation
GT000097,calibration
GT000098,calibration
GT000099,evaluation
GT000100,evaluation
GT000101,calibration
GT000102,calibration
GT000103,evaluation
GT000104,evaluation
GT000105,calibration
GT000106,calibration
GT000107,calibration
GT000108,calibration
GT000109,evaluation
GT000110,calibration
GT000111,calibration
GT000112,calibration
GT000113,calibration
GT000114,calibration
GT000115,calibration
GT000116,calibration
GT000117,calibration
GT000118,evaluation
GT000119,calibration
GT000120,evaluation
GT000121,calibration
GT000122,calibration
GT000123,calibration
GT000124,calibration
GT000125,calibration
GT000126,calibration
GT000127,calibration
GT000128,anonymous_only
GT000129,evaluation
GT000130,evaluation
GT000131,calibration
GT000132,evaluation
GT000133,calibration
GT000134,calibration
GT000135,calibration
GT000136,evaluation
GT000137,calibration
GT000138,calibration
GT000139,calibration
GT000140,evaluation
GT000141,evaluation
GT000142,calibration
GT000143,calibration
GT000144,evaluation
GT000145,calibration
GT000146,calibration
GT000147,calibration
GT000148,calibration
GT000149,calibration
GT000150,calibration
GT000151,calibration
GT000152,calibration
GT000153,calibration
GT000154,calibration
GT000155,calibration
GT000156,evaluation
GT000157,evaluation
GT000158,calibration
GT000159,evaluation
GT000160,calibration
GT000161,calibration
GT000162,evaluation
GT000163,calibration
GT000164,calibration
GT000165,calibration
GT000166,calibration
GT000167,calibration
GT000168,calibration
GT000169,calibration
GT000170,evaluation
GT000171,calibration
GT000172,calibration
GT000173,calibration
GT000174,calibration
GT000175,calibration
GT000176,calibration
GT000177,calibration
GT000178,calibration
GT000179,calibration
GT000180,calibration
GT000181,calibration
GT000182,evaluation
GT000183,calibration
GT000184,calibration
GT000185,calibration
GT000186,calibration
GT000187,calibration
GT000188,calibration
GT000189,calibration
GT000190,evaluation
GT000191,calibration
GT000192,evaluation
GT000193,evaluation
GT000194,calibration
GT000195,calibration
GT000196,calibration
GT000197,calibration
GT000198,calibration
GT000199,calibration
GT000200,calibration
GT000201,calibration
GT000202,calibration
GT000203,calibration
GT000204,evaluation
GT000205,calibration
GT000206,calibration
GT000207,calibration
GT000208,calibration
GT000209,calibration
GT000210,calibration
GT000211,evaluation
GT000212,calibration
GT000213,calibration
GT000214,calibration
GT000215,calibration
GT000216,calibration
GT000217,calibration
GT000218,calibration
GT000219,evaluation
GT000220,calibration
GT000221,calibration
GT000222,evaluation
GT000223,calibration
GT000224,calibration
GT000225,calibration
GT000226,calibration
GT000227,calibration
GT000228,evaluation
GT000229,calibration
GT000230,calibration
GT000231,calibration
GT000232,evaluation
GT000233,calibration
GT000234,calibration
GT000235,evaluation
GT000236,evaluation
GT000237,calibration
GT000238,calibration
GT000239,calibration
GT000240,calibration
GT000241,calibration
GT000242,calibration
GT000243,calibration
GT000244,calibration
GT000245,evaluation
GT000246,evaluation
GT000247,evaluation
GT000248,calibration
GT000249,calibration
GT000250,calibration
GT000251,calibration
GT000252,evaluation
GT000253,calibration
GT000254,calibration
GT000255,evaluation
GT000256,calibration
GT000257,calibration
GT000258,anonymous_only
GT000259,calibration
GT000260,calibration
GT000261,calibration
GT000262,calibration
GT000263,evaluation
GT000264,evaluation
GT000265,calibration
GT000266,calibration
GT000267,calibration
GT000268,evaluation
GT000269,calibration
GT000270,calibration
GT000271,evaluation
GT000272,calibration
GT000273,calibration
GT000274,evaluation
GT000275,calibration
GT000276,calibration
GT000277,calibration
GT000278,calibration
GT000279,calibration
GT000280,evaluation
GT000281,calibration
GT000282,evaluation
GT000283,calibration
GT000284,calibration
GT000285,anonymous_only
GT000286,calibration
GT000287,calibration
GT000288,evaluation
GT000289,calibration
GT000290,calibration
GT000291,calibration
GT000292,calibration
GT000293,calibration
GT000294,calibration
GT000295,calibration
GT000296,calibration
GT000297,calibration
GT000298,calibration
GT000299,calibration
GT000300,calibration
GT000301,calibration
GT000302,calibration
GT000303,evaluation
GT000304,evaluation
GT000305,calibration
GT000306,calibration
GT000307,calibration
GT000308,calibration
GT000309,calibration
GT000310,calibration
GT000311,evaluation
GT000312,evaluation
GT000313,evaluation
GT000314,calibration
GT000315,calibration
GT000316,calibration
GT000317,evaluation
GT000318,calibration
GT000319,calibration
GT000320,calibration
GT000321,calibration
GT000322,calibration
GT000323,evaluation
GT000324,evaluation
GT000325,evaluation
GT000326,evaluation
GT000327,calibration
GT000328,calibration
GT000329,evaluation
GT000330,calibration
GT000331,calibration
GT000332,calibration
GT000333,calibration
GT000334,calibration
GT000335,evaluation
GT000336,calibration
GT000337,calibration
GT000338,calibration
GT000339,evaluation
GT000340,calibration
GT000341,calibration
GT000342,calibration
GT000343,evaluation
GT000344,calibration
GT000345,evaluation
GT000346,calibration
GT000347,evaluation
GT000348,calibration
GT000349,calibration
GT000350,evaluation
GT000351,calibration
GT000352,calibration
GT000353,calibration
GT000354,evaluation
GT000355,evaluation
GT000356,calibration
GT000357,calibration
GT000358,calibration
GT000359,calibration
GT000360,calibration
GT000361,calibration
GT000362,calibration
GT000363,calibration
GT000364,calibration
GT000365,evaluation
GT000366,calibration
GT000367,calibration
GT000368,evaluation
GT000369,calibration
GT000370,calibration
GT000371,calibration
GT000372,calibration
GT000373,calibration
GT000374,calibration
GT000375,calibration
GT000376,evaluation
GT000377,evaluation
GT000378,evaluation
GT000379,calibration
GT000380,evaluation
GT000381,calibration
GT000382,calibration
GT000383,calibration
GT000384,anonymous_only
GT000385,calibration
GT000386,calibration
GT000387,calibration
GT000388,evaluation
GT000389,calibration
GT000390,calibration
GT000391,evaluation
GT000392,calibration
GT000393,calibration
GT000394,evaluation
GT000395,calibration
GT000396,calibration
GT000397,calibration
GT000398,calibration
GT000399,calibration
GT000400,calibration
GT000401,calibration
GT000402,calibration
GT000403,calibration
GT000404,evaluation
GT000405,anonymous_only
GT000406,evaluation
GT000407,calibration
GT000408,evaluation
GT000409,calibration
GT000410,calibration
GT000411,calibration
GT000412,calibration
GT000413,calibration
GT000414,evaluation
GT000415,calibration
GT000416,calibration
GT000417,evaluation
GT000418,evaluation
GT000419,calibration
GT000420,calibration
GT000421,calibration
GT000422,evaluation
GT000423,evaluation
GT000424,calibration
GT000425,calibration
GT000426,calibration
GT000427,evaluation
GT000428,evaluation
GT000429,calibration
GT000430,evaluation
GT000431,evaluation
GT000432,evaluation
GT000433,calibration
GT000434,calibration
GT000435,calibration
GT000436,calibration
GT000437,calibration
GT000438,evaluation
GT000439,calibration
GT000440,calibration
GT000441,calibration
GT000442,evaluation
GT000443,calibration
GT000444,evaluation
GT000445,calibration
GT000446,calibration
GT000447,evaluation
GT000448,calibration
GT000449,evaluation
GT000450,calibration
GT000451,calibration
GT000452,evaluation
GT000453,calibration
GT000454,calibration
GT000455,calibration
GT000456,calibration
GT000457,calibration
GT000458,calibration
GT000459,calibration
GT000460,evaluation
GT000461,evaluation
GT000462,calibration
GT000463,evaluation
GT000464,calibration
GT000465,calibration
GT000466,calibration
GT000467,evaluation
GT000468,calibration
GT000469,evaluation
GT000470,evaluation
GT000471,calibration
GT000472,calibration
GT000473,calibration
GT000474,calibration
GT000475,calibration
GT000476,calibration
GT000477,calibration
GT000478,evaluation
GT000479,calibration
GT000480,evaluation
GT000481,calibration
GT000482,evaluation
GT000483,evaluation
GT000484,calibration
GT000485,calibration
GT000486,calibration
GT000487,calibration
GT000489,calibration
GT000490,evaluation
