ground_truth_id,evaluation_split,record_count,source_systems,deterministic_cluster_count,evaluated_cluster_count,evaluated_cluster_ids
GT000008,evaluation,8,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL003307 | ECL009865
GT000013,calibration,5,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008535 | ECL010511
GT000014,calibration,21,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL005590 | ECL009704
GT000032,calibration,5,CRM | ECOMMERCE | MARKETING,2,2,ECL005673 | ECL010289
GT000035,calibration,3,ECOMMERCE | MARKETING,2,2,ECL008415 | ECL009656
GT000036,calibration,3,CRM | MARKETING,2,2,ECL003030 | ECL010397
GT000037,evaluation,2,CRM | MARKETING,2,2,ECL003963 | ECL009742
GT000048,evaluation,6,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008401 | ECL010294
GT000071,calibration,19,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007774 | ECL010559
GT000077,evaluation,10,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003249 | ECL010018
GT000079,evaluation,5,CRM | SUPPORT,2,2,ECL003716 | ECL010557
GT000082,calibration,3,ECOMMERCE | MARKETING | SUPPORT,2,2,ECL008823 | ECL010444
GT000096,evaluation,6,CRM | ECOMMERCE | MARKETING,2,2,ECL003916 | ECL010358
GT000103,evaluation,3,ECOMMERCE | MARKETING | ONLINE,2,2,ECL007855 | ECL010246
GT000104,evaluation,5,CRM | ECOMMERCE | ONLINE | SUPPORT,2,2,ECL000877 | ECL010421
GT000110,calibration,6,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL005280 | ECL009882
GT000114,calibration,8,CRM | MARKETING | ONLINE,2,2,ECL003875 | ECL009869
GT000121,calibration,8,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL008432 | ECL010418
GT000130,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL002434 | ECL009507
GT000144,evaluation,2,CRM | MARKETING,2,2,ECL003709 | ECL010217
GT000163,calibration,3,ECOMMERCE | MARKETING | ONLINE,2,2,ECL008621 | ECL009651
GT000190,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL003486 | ECL009712
GT000217,calibration,12,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL002076 | ECL010491
GT000242,calibration,2,CRM | SUPPORT,2,2,ECL005236 | ECL010570
GT000255,evaluation,8,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL007188 | ECL010618
GT000256,calibration,8,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL005639 | ECL009653
GT000261,calibration,8,ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL008014 | ECL010494
GT000271,evaluation,2,ECOMMERCE | MARKETING,2,2,ECL009366 | ECL010264
GT000274,evaluation,11,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001055 | ECL009629
GT000295,calibration,10,CRM | ECOMMERCE | MARKETING | ONLINE,2,2,ECL001187 | ECL009674
GT000300,calibration,5,ECOMMERCE | MARKETING | ONLINE,3,3,ECL008002 | ECL009697 | ECL010068
GT000301,calibration,7,CRM | ECOMMERCE | MARKETING | SUPPORT,2,2,ECL007752 | ECL009799
GT000306,calibration,11,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,2,2,ECL000014 | ECL009937
GT000313,evaluation,7,CRM | ECOMMERCE | MARKETING,2,2,ECL007186 | ECL010159
GT000343,evaluation,4,CRM | ECOMMERCE | MARKETING,2,2,ECL001323 | ECL010058
