staging_record_id,source_system,source_record_id,ground_truth_id,evaluation_split
STG000001,CRM,CRM000001,GT009431,calibration
STG000002,CRM,CRM000002,GT003605,calibration
STG000003,CRM,CRM000003,GT007847,calibration
STG000004,CRM,CRM000004,GT005909,calibration
STG000005,CRM,CRM000005,GT002958,calibration
STG000006,CRM,CRM000006,GT009230,calibration
STG000007,CRM,CRM000007,GT008697,evaluation
STG000008,CRM,CRM000008,GT003652,calibration
STG000009,CRM,CRM000009,GT009732,calibration
STG000010,CRM,CRM000010,GT002257,calibration
STG000011,CRM,CRM000011,GT008057,evaluation
STG000012,CRM,CRM000012,GT006803,calibration
STG000013,CRM,CRM000013,GT004714,calibration
STG000014,CRM,CRM000014,GT000306,calibration
STG000015,CRM,CRM000015,GT008949,calibration
STG000016,CRM,CRM000016,GT005737,calibration
STG000017,CRM,CRM000017,GT003913,calibration
STG000018,CRM,CRM000018,GT003557,evaluation
STG000019,CRM,CRM000019,GT006510,calibration
STG000020,CRM,CRM000020,GT003483,calibration
STG000021,CRM,CRM000021,GT005083,evaluation
STG000022,CRM,CRM000022,GT003718,calibration
STG000023,CRM,CRM000023,GT000553,calibration
STG000024,CRM,CRM000024,GT002518,calibration
STG000025,CRM,CRM000025,GT008411,calibration
STG000026,CRM,CRM000026,GT008183,calibration
STG000027,CRM,CRM000027,GT006668,calibration
STG000028,CRM,CRM000028,GT004710,evaluation
STG000029,CRM,CRM000029,GT009699,calibration
STG000030,CRM,CRM000030,GT008405,evaluation
STG000031,CRM,CRM000031,GT002464,calibration
STG000032,CRM,CRM000032,GT005675,calibration
STG000033,CRM,CRM000033,GT009557,calibration
STG000034,CRM,CRM000034,GT007855,calibration
STG000035,CRM,CRM000035,GT003702,evaluation
STG000036,CRM,CRM000036,GT004704,calibration
STG000037,CRM,CRM000037,GT005183,evaluation
STG000038,CRM,CRM000038,GT009019,evaluation
STG000039,CRM,CRM000039,GT007139,calibration
STG000040,CRM,CRM000040,GT003989,evaluation
STG000041,CRM,CRM000041,GT004625,calibration
STG000042,CRM,CRM000042,GT000928,calibration
STG000043,CRM,CRM000043,GT004926,calibration
STG000044,CRM,CRM000044,GT002302,calibration
STG000045,CRM,CRM000045,GT000936,evaluation
STG000046,CRM,CRM000046,GT000918,calibration
STG000047,CRM,CRM000047,GT002169,calibration
STG000048,CRM,CRM000048,GT006991,evaluation
STG000049,CRM,CRM000049,GT001798,calibration
STG000050,CRM,CRM000050,GT005683,calibration
STG000051,CRM,CRM000051,GT006023,evaluation
STG000052,CRM,CRM000052,GT009662,evaluation
STG000053,CRM,CRM000053,GT004589,calibration
STG000054,CRM,CRM000054,GT007745,calibration
STG000055,CRM,CRM000055,GT000346,calibration
STG000056,CRM,CRM000056,GT006437,calibration
STG000057,CRM,CRM000057,GT009805,calibration
STG000058,CRM,CRM000058,GT000474,calibration
STG000059,CRM,CRM000059,GT009080,calibration
STG000060,CRM,CRM000060,GT001565,calibration
STG000061,CRM,CRM000061,GT006748,calibration
STG000062,CRM,CRM000062,GT000252,evaluation
STG000063,CRM,CRM000063,GT000616,evaluation
STG000064,CRM,CRM000064,GT001356,calibration
STG000065,CRM,CRM000065,GT009013,evaluation
STG000066,CRM,CRM000066,GT007828,evaluation
STG000067,CRM,CRM000067,GT006611,calibration
STG000068,CRM,CRM000068,GT006485,evaluation
STG000069,CRM,CRM000069,GT002953,calibration
STG000070,CRM,CRM000070,GT005283,calibration
STG000071,CRM,CRM000071,GT004823,calibration
STG000072,CRM,CRM000072,GT009509,calibration
STG000073,CRM,CRM000073,GT004550,calibration
STG000074,CRM,CRM000074,GT007467,calibration
STG000075,CRM,CRM000075,GT003597,calibration
STG000076,CRM,CRM000076,GT009255,calibration
STG000077,CRM,CRM000077,GT008524,calibration
STG000078,CRM,CRM000078,GT009920,calibration
STG000079,CRM,CRM000079,GT002282,calibration
STG000080,CRM,CRM000080,GT008706,calibration
STG000081,CRM,CRM000081,GT004774,calibration
STG000082,CRM,CRM000082,GT005102,evaluation
STG000083,CRM,CRM000083,GT005422,calibration
STG000084,CRM,CRM000084,GT000923,calibration
STG000085,CRM,CRM000085,GT008813,calibration
STG000086,CRM,CRM000086,GT006040,calibration
STG000087,CRM,CRM000087,GT001059,evaluation
STG000088,CRM,CRM000088,GT007390,calibration
STG000089,CRM,CRM000089,GT001140,calibration
STG000090,CRM,CRM000090,GT003822,calibration
STG000091,CRM,CRM000091,GT006690,calibration
STG000092,CRM,CRM000092,GT004658,calibration
STG000093,CRM,CRM000093,GT000651,evaluation
STG000094,CRM,CRM000094,GT006216,calibration
STG000095,CRM,CRM000095,GT003676,evaluation
STG000096,CRM,CRM000096,GT003823,evaluation
STG000097,CRM,CRM000097,GT001634,evaluation
STG000098,CRM,CRM000098,GT001842,calibration
STG000099,CRM,CRM000099,GT009932,calibration
STG000100,CRM,CRM000100,GT005872,calibration
STG000101,CRM,CRM000101,GT007809,calibration
STG000102,CRM,CRM000102,GT003846,evaluation
STG000103,CRM,CRM000103,GT001548,evaluation
STG000104,CRM,CRM000104,GT006067,calibration
STG000105,CRM,CRM000105,GT004057,evaluation
STG000106,CRM,CRM000106,GT004043,calibration
STG000107,CRM,CRM000107,GT000883,evaluation
STG000108,CRM,CRM000108,GT004216,evaluation
STG000109,CRM,CRM000109,GT000521,calibration
STG000110,CRM,CRM000110,GT009020,evaluation
STG000111,CRM,CRM000111,GT003757,evaluation
STG000112,CRM,CRM000112,GT007151,calibration
STG000113,CRM,CRM000113,GT005881,calibration
STG000114,CRM,CRM000114,GT004411,calibration
STG000115,CRM,CRM000115,GT003396,evaluation
STG000116,CRM,CRM000116,GT000318,calibration
STG000117,CRM,CRM000117,GT006537,calibration
STG000118,CRM,CRM000118,GT001001,calibration
STG000119,CRM,CRM000119,GT002361,calibration
STG000120,CRM,CRM000120,GT009587,calibration
STG000121,CRM,CRM000121,GT003767,evaluation
STG000122,CRM,CRM000122,GT003635,evaluation
STG000123,CRM,CRM000123,GT006897,calibration
STG000124,CRM,CRM000124,GT002709,calibration
STG000125,CRM,CRM000125,GT003690,calibration
STG000126,CRM,CRM000126,GT003086,evaluation
STG000127,CRM,CRM000127,GT006952,calibration
STG000128,CRM,CRM000128,GT000775,calibration
STG000129,CRM,CRM000129,GT003819,calibration
STG000130,CRM,CRM000130,GT009973,calibration
STG000131,CRM,CRM000131,GT006402,calibration
STG000132,CRM,CRM000132,GT004754,calibration
STG000133,CRM,CRM000133,GT002907,calibration
STG000134,CRM,CRM000134,GT000226,calibration
STG000135,CRM,CRM000135,GT009098,evaluation
STG000136,CRM,CRM000136,GT009210,calibration
STG000137,CRM,CRM000137,GT009787,evaluation
STG000138,CRM,CRM000138,GT004800,evaluation
STG000139,CRM,CRM000139,GT005929,calibration
STG000140,CRM,CRM000140,GT002905,calibration
STG000141,CRM,CRM000141,GT008287,calibration
STG000142,CRM,CRM000142,GT005823,calibration
STG000143,CRM,CRM000143,GT002980,evaluation
STG000144,CRM,CRM000144,GT002965,calibration
STG000145,CRM,CRM000145,GT003573,evaluation
STG000146,CRM,CRM000146,GT006702,evaluation
STG000147,CRM,CRM000147,GT007695,evaluation
STG000148,CRM,CRM000148,GT001044,calibration
STG000149,CRM,CRM000149,GT009288,evaluation
STG000150,CRM,CRM000150,GT007528,calibration
STG000151,CRM,CRM000151,GT008050,calibration
STG000152,CRM,CRM000152,GT001982,calibration
STG000153,CRM,CRM000153,GT001435,calibration
STG000154,CRM,CRM000154,GT007340,calibration
STG000155,CRM,CRM000155,GT009386,calibration
STG000156,CRM,CRM000156,GT003480,calibration
STG000157,CRM,CRM000157,GT001006,calibration
STG000158,CRM,CRM000158,GT003274,calibration
STG000159,CRM,CRM000159,GT008381,calibration
STG000160,CRM,CRM000160,GT008239,calibration
STG000161,CRM,CRM000161,GT002357,calibration
STG000162,CRM,CRM000162,GT001555,evaluation
STG000163,CRM,CRM000163,GT004961,calibration
STG000164,CRM,CRM000164,GT003213,calibration
STG000165,CRM,CRM000165,GT008508,calibration
STG000166,CRM,CRM000166,GT004654,calibration
STG000167,CRM,CRM000167,GT002280,calibration
STG000168,CRM,CRM000168,GT004313,calibration
STG000169,CRM,CRM000169,GT002237,calibration
STG000170,CRM,CRM000170,GT007037,evaluation
STG000171,CRM,CRM000171,GT009721,calibration
STG000172,CRM,CRM000172,GT006078,calibration
STG000173,CRM,CRM000173,GT002390,calibration
STG000174,CRM,CRM000174,GT008122,calibration
STG000175,CRM,CRM000175,GT003659,calibration
STG000176,CRM,CRM000176,GT000886,evaluation
STG000177,CRM,CRM000177,GT001543,evaluation
STG000178,CRM,CRM000178,GT008351,calibration
STG000179,CRM,CRM000179,GT002278,calibration
STG000180,CRM,CRM000180,GT007824,evaluation
STG000181,CRM,CRM000181,GT000827,calibration
STG000182,CRM,CRM000182,GT008399,evaluation
STG000183,CRM,CRM000183,GT007147,calibration
STG000184,CRM,CRM000184,GT000887,calibration
STG000185,CRM,CRM000185,GT000424,calibration
STG000186,CRM,CRM000186,GT002529,evaluation
STG000187,CRM,CRM000187,GT006464,calibration
STG000188,CRM,CRM000188,GT005731,calibration
STG000189,CRM,CRM000189,GT002865,calibration
STG000190,CRM,CRM000190,GT009785,calibration
STG000191,CRM,CRM000191,GT001028,calibration
STG000192,CRM,CRM000192,GT006623,evaluation
STG000193,CRM,CRM000193,GT005319,evaluation
STG000194,CRM,CRM000194,GT009900,evaluation
STG000195,CRM,CRM000195,GT009546,calibration
STG000196,CRM,CRM000196,GT004801,evaluation
STG000197,CRM,CRM000197,GT004490,evaluation
STG000198,CRM,CRM000198,GT003577,calibration
STG000199,CRM,CRM000199,GT001723,calibration
STG000200,CRM,CRM000200,GT006814,calibration
STG000201,CRM,CRM000201,GT008870,calibration
STG000202,CRM,CRM000202,GT004766,evaluation
STG000203,CRM,CRM000203,GT009179,calibration
STG000204,CRM,CRM000204,GT002465,calibration
STG000205,CRM,CRM000205,GT002683,evaluation
STG000206,CRM,CRM000206,GT009548,evaluation
STG000207,CRM,CRM000207,GT009197,evaluation
STG000208,CRM,CRM000208,GT005132,calibration
STG000209,CRM,CRM000209,GT005509,calibration
STG000210,CRM,CRM000210,GT003543,calibration
STG000211,CRM,CRM000211,GT000283,calibration
STG000212,CRM,CRM000212,GT009852,evaluation
STG000213,CRM,CRM000213,GT005089,calibration
STG000214,CRM,CRM000214,GT008072,evaluation
STG000215,CRM,CRM000215,GT001613,calibration
STG000216,CRM,CRM000216,GT005899,evaluation
STG000217,CRM,CRM000217,GT009868,evaluation
STG000218,CRM,CRM000218,GT003130,calibration
STG000219,CRM,CRM000219,GT004670,calibration
STG000220,CRM,CRM000220,GT002728,calibration
STG000221,CRM,CRM000221,GT007373,calibration
STG000222,CRM,CRM000222,GT000687,evaluation
STG000223,CRM,CRM000223,GT007312,calibration
STG000224,CRM,CRM000224,GT008347,calibration
STG000225,CRM,CRM000225,GT002494,calibration
STG000226,CRM,CRM000226,GT003468,calibration
STG000227,CRM,CRM000227,GT008767,calibration
STG000228,CRM,CRM000228,GT001566,calibration
STG000229,CRM,CRM000229,GT009148,calibration
STG000230,CRM,CRM000230,GT000931,calibration
STG000231,CRM,CRM000231,GT000371,calibration
STG000232,CRM,CRM000232,GT008119,calibration
STG000233,CRM,CRM000233,GT000654,evaluation
STG000234,CRM,CRM000234,GT005681,calibration
STG000235,CRM,CRM000235,GT008860,calibration
STG000236,CRM,CRM000236,GT006739,calibration
STG000237,CRM,CRM000237,GT009823,calibration
STG000238,CRM,CRM000238,GT006810,calibration
STG000239,CRM,CRM000239,GT003352,calibration
STG000240,CRM,CRM000240,GT009371,evaluation
STG000241,CRM,CRM000241,GT000794,evaluation
STG000242,CRM,CRM000242,GT006817,calibration
STG000243,CRM,CRM000243,GT001089,calibration
STG000244,CRM,CRM000244,GT003872,evaluation
STG000245,CRM,CRM000245,GT005003,evaluation
STG000246,CRM,CRM000246,GT000537,calibration
STG000247,CRM,CRM000247,GT004065,evaluation
STG000248,CRM,CRM000248,GT005376,calibration
STG000249,CRM,CRM000249,GT002800,calibration
STG000250,CRM,CRM000250,GT004069,calibration
STG000251,CRM,CRM000251,GT007795,evaluation
STG000252,CRM,CRM000252,GT001910,evaluation
STG000253,CRM,CRM000253,GT003102,calibration
STG000254,CRM,CRM000254,GT002771,calibration
STG000255,CRM,CRM000255,GT002503,calibration
STG000256,CRM,CRM000256,GT000374,calibration
STG000257,CRM,CRM000257,GT009565,calibration
STG000258,CRM,CRM000258,GT005094,calibration
STG000259,CRM,CRM000259,GT003279,calibration
STG000260,CRM,CRM000260,GT008807,evaluation
STG000261,CRM,CRM000261,GT000219,evaluation
STG000262,CRM,CRM000262,GT001066,calibration
STG000263,CRM,CRM000263,GT000187,calibration
STG000264,CRM,CRM000264,GT000304,evaluation
STG000265,CRM,CRM000265,GT000026,evaluation
STG000266,CRM,CRM000266,GT006079,calibration
STG000267,CRM,CRM000267,GT007173,calibration
STG000268,CRM,CRM000268,GT003552,calibration
STG000269,CRM,CRM000269,GT009280,calibration
STG000270,CRM,CRM000270,GT007553,evaluation
STG000271,CRM,CRM000271,GT009882,calibration
STG000272,CRM,CRM000272,GT007681,calibration
STG000273,CRM,CRM000273,GT005227,calibration
STG000274,CRM,CRM000274,GT000562,calibration
STG000275,CRM,CRM000275,GT001203,calibration
STG000276,CRM,CRM000276,GT003277,evaluation
STG000277,CRM,CRM000277,GT001369,calibration
STG000278,CRM,CRM000278,GT006366,calibration
STG000279,CRM,CRM000279,GT000696,evaluation
STG000280,CRM,CRM000280,GT005428,evaluation
STG000281,CRM,CRM000281,GT003644,calibration
STG000282,CRM,CRM000282,GT003849,calibration
STG000283,CRM,CRM000283,GT000793,evaluation
STG000284,CRM,CRM000284,GT007188,calibration
STG000285,CRM,CRM000285,GT007635,calibration
STG000286,CRM,CRM000286,GT003200,calibration
STG000287,CRM,CRM000287,GT003772,calibration
STG000288,CRM,CRM000288,GT006922,calibration
STG000289,CRM,CRM000289,GT001328,calibration
STG000290,CRM,CRM000290,GT006141,evaluation
STG000291,CRM,CRM000291,GT003433,calibration
STG000292,CRM,CRM000292,GT007004,calibration
STG000293,CRM,CRM000293,GT006346,evaluation
STG000294,CRM,CRM000294,GT002812,calibration
STG000295,CRM,CRM000295,GT003928,calibration
STG000296,CRM,CRM000296,GT002973,calibration
STG000297,CRM,CRM000297,GT007585,evaluation
STG000298,CRM,CRM000298,GT007905,calibration
STG000299,CRM,CRM000299,GT002383,evaluation
STG000300,CRM,CRM000300,GT004930,calibration
STG000301,CRM,CRM000301,GT007561,calibration
STG000302,CRM,CRM000302,GT005458,calibration
STG000303,CRM,CRM000303,GT000155,calibration
STG000304,CRM,CRM000304,GT000881,calibration
STG000305,CRM,CRM000305,GT003855,calibration
STG000306,CRM,CRM000306,GT008429,calibration
