staging_record_id,ucr_id,source_system,source_record_id,deterministic_cluster_id,probabilistic_cluster_id,resolution_status,match_method,cluster_size,deterministic_cluster_count,cluster_confidence,cluster_confidence_type,deterministic_linking_rules
STG033315,,ONLINE,SES000013,,,anonymous_unresolvable,Not applicable,,,,,
STG033316,,ONLINE,SES000014,,,anonymous_unresolvable,Not applicable,,,,,
STG033320,,ONLINE,SES000018,,,anonymous_unresolvable,Not applicable,,,,,
STG033324,,ONLINE,SES000022,,,anonymous_unresolvable,Not applicable,,,,,
STG033328,,ONLINE,SES000026,,,anonymous_unresolvable,Not applicable,,,,,
STG033332,,ONLINE,SES000030,,,anonymous_unresolvable,Not applicable,,,,,
STG033336,,ONLINE,SES000034,,,anonymous_unresolvable,Not applicable,,,,,
STG033337,,ONLINE,SES000035,,,anonymous_unresolvable,Not applicable,,,,,
STG033339,,ONLINE,SES000037,,,anonymous_unresolvable,Not applicable,,,,,
STG033343,,ONLINE,SES000041,,,anonymous_unresolvable,Not applicable,,,,,
STG033346,,ONLINE,SES000044,,,anonymous_unresolvable,Not applicable,,,,,
STG033348,,ONLINE,SES000046,,,anonymous_unresolvable,Not applicable,,,,,
STG033355,,ONLINE,SES000053,,,anonymous_unresolvable,Not applicable,,,,,
STG033356,,ONLINE,SES000054,,,anonymous_unresolvable,Not applicable,,,,,
STG033357,,ONLINE,SES000055,,,anonymous_unresolvable,Not applicable,,,,,
STG033358,,ONLINE,SES000056,,,anonymous_unresolvable,Not applicable,,,,,
STG033359,,ONLINE,SES000057,,,anonymous_unresolvable,Not applicable,,,,,
STG033360,,ONLINE,SES000058,,,anonymous_unresolvable,Not applicable,,,,,
STG033361,,ONLINE,SES000059,,,anonymous_unresolvable,Not applicable,,,,,
STG033364,,ONLINE,SES000062,,,anonymous_unresolvable,Not applicable,,,,,
STG033366,,ONLINE,SES000064,,,anonymous_unresolvable,Not applicable,,,,,
STG033367,,ONLINE,SES000065,,,anonymous_unresolvable,Not applicable,,,,,
STG033371,,ONLINE,SES000069,,,anonymous_unresolvable,Not applicable,,,,,
STG033378,,ONLINE,SES000076,,,anonymous_unresolvable,Not applicable,,,,,
STG033379,,ONLINE,SES000077,,,anonymous_unresolvable,Not applicable,,,,,
STG033380,,ONLINE,SES000078,,,anonymous_unresolvable,Not applicable,,,,,
STG033382,,ONLINE,SES000080,,,anonymous_unresolvable,Not applicable,,,,,
STG033385,,ONLINE,SES000083,,,anonymous_unresolvable,Not applicable,,,,,
STG033391,,ONLINE,SES000089,,,anonymous_unresolvable,Not applicable,,,,,
STG033394,,ONLINE,SES000092,,,anonymous_unresolvable,Not applicable,,,,,
STG033395,,ONLINE,SES000093,,,anonymous_unresolvable,Not applicable,,,,,
STG033397,,ONLINE,SES000095,,,anonymous_unresolvable,Not applicable,,,,,
STG033407,,ONLINE,SES000105,,,anonymous_unresolvable,Not applicable,,,,,
STG033415,,ONLINE,SES000113,,,anonymous_unresolvable,Not applicable,,,,,
STG033416,,ONLINE,SES000114,,,anonymous_unresolvable,Not applicable,,,,,
STG033426,,ONLINE,SES000124,,,anonymous_unresolvable,Not applicable,,,,,
STG033428,,ONLINE,SES000126,,,anonymous_unresolvable,Not applicable,,,,,
STG033429,,ONLINE,SES000127,,,anonymous_unresolvable,Not applicable,,,,,
STG033436,,ONLINE,SES000134,,,anonymous_unresolvable,Not applicable,,,,,
STG033443,,ONLINE,SES000141,,,anonymous_unresolvable,Not applicable,,,,,
STG033447,,ONLINE,SES000145,,,anonymous_unresolvable,Not applicable,,,,,
STG033451,,ONLINE,SES000149,,,anonymous_unresolvable,Not applicable,,,,,
STG033453,,ONLINE,SES000151,,,anonymous_unresolvable,Not applicable,,,,,
STG033454,,ONLINE,SES000152,,,anonymous_unresolvable,Not applicable,,,,,
STG033457,,ONLINE,SES000155,,,anonymous_unresolvable,Not applicable,,,,,
STG033463,,ONLINE,SES000161,,,anonymous_unresolvable,Not applicable,,,,,
STG033464,,ONLINE,SES000162,,,anonymous_unresolvable,Not applicable,,,,,
STG033470,,ONLINE,SES000168,,,anonymous_unresolvable,Not applicable,,,,,
STG033472,,ONLINE,SES000170,,,anonymous_unresolvable,Not applicable,,,,,
STG033482,,ONLINE,SES000180,,,anonymous_unresolvable,Not applicable,,,,,
STG033485,,ONLINE,SES000183,,,anonymous_unresolvable,Not applicable,,,,,
STG033489,,ONLINE,SES000187,,,anonymous_unresolvable,Not applicable,,,,,
STG033493,,ONLINE,SES000191,,,anonymous_unresolvable,Not applicable,,,,,
STG033501,,ONLINE,SES000199,,,anonymous_unresolvable,Not applicable,,,,,
STG033503,,ONLINE,SES000201,,,anonymous_unresolvable,Not applicable,,,,,
STG033508,,ONLINE,SES000206,,,anonymous_unresolvable,Not applicable,,,,,
STG033509,,ONLINE,SES000207,,,anonymous_unresolvable,Not applicable,,,,,
STG033510,,ONLINE,SES000208,,,anonymous_unresolvable,Not applicable,,,,,
STG033514,,ONLINE,SES000212,,,anonymous_unresolvable,Not applicable,,,,,
STG033519,,ONLINE,SES000217,,,anonymous_unresolvable,Not applicable,,,,,
STG033524,,ONLINE,SES000222,,,anonymous_unresolvable,Not applicable,,,,,
STG033530,,ONLINE,SES000228,,,anonymous_unresolvable,Not applicable,,,,,
STG033531,,ONLINE,SES000229,,,anonymous_unresolvable,Not applicable,,,,,
STG033532,,ONLINE,SES000230,,,anonymous_unresolvable,Not applicable,,,,,
STG033538,,ONLINE,SES000236,,,anonymous_unresolvable,Not applicable,,,,,
STG033539,,ONLINE,SES000237,,,anonymous_unresolvable,Not applicable,,,,,
STG033543,,ONLINE,SES000241,,,anonymous_unresolvable,Not applicable,,,,,
STG033544,,ONLINE,SES000242,,,anonymous_unresolvable,Not applicable,,,,,
STG033547,,ONLINE,SES000245,,,anonymous_unresolvable,Not applicable,,,,,
STG033550,,ONLINE,SES000248,,,anonymous_unresolvable,Not applicable,,,,,
STG033551,,ONLINE,SES000249,,,anonymous_unresolvable,Not applicable,,,,,
STG033556,,ONLINE,SES000254,,,anonymous_unresolvable,Not applicable,,,,,
STG033566,,ONLINE,SES000264,,,anonymous_unresolvable,Not applicable,,,,,
STG033568,,ONLINE,SES000266,,,anonymous_unresolvable,Not applicable,,,,,
STG033571,,ONLINE,SES000269,,,anonymous_unresolvable,Not applicable,,,,,
STG033577,,ONLINE,SES000275,,,anonymous_unresolvable,Not applicable,,,,,
STG033579,,ONLINE,SES000277,,,anonymous_unresolvable,Not applicable,,,,,
STG033581,,ONLINE,SES000279,,,anonymous_unresolvable,Not applicable,,,,,
STG033583,,ONLINE,SES000281,,,anonymous_unresolvable,Not applicable,,,,,
