ucr_id,probabilistic_cluster_id,minimum_staging_record_id,resolution_status,match_method,cluster_size,deterministic_cluster_count,deterministic_cluster_ids,source_system_count,source_systems,cluster_confidence,cluster_confidence_type,deterministic_linking_rules
UCR000001,PCL000001,STG000001,deterministically_linked,Deterministic,10,1,DCL000001,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D08
UCR000002,PCL000002,STG000002,deterministically_linked,Deterministic,3,1,DCL000002,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000003,PCL000003,STG000003,deterministically_linked,Deterministic,6,1,DCL000003,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000004,PCL000004,STG000004,deterministically_linked,Deterministic,5,1,DCL000004,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000005,PCL000005,STG000005,deterministically_linked,Deterministic,4,1,DCL000005,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D03
UCR000006,PCL000006,STG000006,deterministically_linked,Deterministic,14,1,DCL000006,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000007,PCL000007,STG000007,deterministically_linked,Deterministic,4,1,DCL000007,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D03 | D04
UCR000008,PCL000008,STG000008,deterministically_linked,Deterministic,8,1,DCL000008,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03 | D05
UCR000009,PCL000009,STG000009,deterministically_linked,Deterministic,9,1,DCL000009,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000010,PCL000010,STG000010,deterministically_linked,Deterministic,10,1,DCL000010,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000011,PCL000011,STG000011,deterministically_linked,Deterministic,7,1,DCL000011,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000012,PCL000012,STG000012,deterministically_linked,Deterministic,15,1,DCL000012,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000013,PCL000013,STG000013,deterministically_linked,Deterministic,9,1,DCL000013,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D04
UCR000014,PCL000014,STG000014,deterministically_linked,Deterministic,10,1,DCL000014,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000015,PCL000015,STG000015,deterministically_linked,Deterministic,6,1,DCL000015,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000016,PCL000016,STG000016,deterministically_linked,Deterministic,5,1,DCL000016,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000017,PCL000017,STG000017,deterministically_linked,Deterministic,7,1,DCL000017,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03 | D08
UCR000018,PCL000018,STG000018,deterministically_linked,Deterministic,6,1,DCL000018,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03 | D06
UCR000019,PCL000019,STG000019,deterministically_linked,Deterministic,3,1,DCL000019,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000020,PCL000020,STG000020,deterministically_linked,Deterministic,2,1,DCL000020,2,CRM | ECOMMERCE,1.0,Exact deterministic-rule confidence,D03
UCR000021,PCL000021,STG000021,deterministically_linked,Deterministic,5,1,DCL000021,3,CRM | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000022,PCL000022,STG000022,deterministically_linked,Deterministic,10,1,DCL000022,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000023,PCL000023,STG000023,deterministically_linked,Deterministic,8,1,DCL000023,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03 | D06 | D07
UCR000024,PCL000024,STG000024,deterministically_linked,Deterministic,5,1,DCL000024,3,CRM | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000025,PCL000025,STG000025,deterministically_linked,Deterministic,5,1,DCL000025,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000026,PCL000026,STG000026,deterministically_linked,Deterministic,9,1,DCL000026,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D05
UCR000027,PCL000027,STG000027,deterministically_linked,Deterministic,7,1,DCL000027,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000028,PCL000028,STG000028,deterministically_linked,Deterministic,8,1,DCL000028,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03 | D05 | D06
UCR000029,PCL000029,STG000029,deterministically_linked,Deterministic,11,1,DCL000029,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D06 | D08
UCR000030,PCL000030,STG000030,deterministically_linked,Deterministic,6,1,DCL000030,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03 | D07
UCR000031,PCL000031,STG000031,deterministically_linked,Deterministic,9,1,DCL000031,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000032,PCL000032,STG000032,deterministically_linked,Deterministic,3,1,DCL000032,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000033,PCL000033,STG000033,deterministically_linked,Deterministic,13,1,DCL000033,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000034,PCL000034,STG000034,deterministically_linked,Deterministic,8,1,DCL000034,4,CRM | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000035,PCL000035,STG000035,deterministically_linked,Deterministic,7,1,DCL000035,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000036,PCL000036,STG000036,deterministically_linked,Deterministic,10,1,DCL000036,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000037,PCL000037,STG000037,deterministically_linked,Deterministic,4,1,DCL000037,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000038,PCL000038,STG000038,deterministically_linked,Deterministic,8,1,DCL000038,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03 | D06
UCR000039,PCL000039,STG000039,deterministically_linked,Deterministic,3,1,DCL000039,2,CRM | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000040,PCL000040,STG000040,probabilistically_linked,Hybrid,3,2,DCL000040 | DCL010500,3,CRM | ECOMMERCE | MARKETING,0.9248,Minimum accepted probabilistic score,D03
UCR000041,PCL000041,STG000041,deterministically_linked,Deterministic,14,1,DCL000041,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000042,PCL000042,STG000042,deterministically_linked,Deterministic,12,1,DCL000042,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D08
UCR000043,PCL000043,STG000043,deterministically_linked,Deterministic,12,1,DCL000043,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D06
UCR000044,PCL000044,STG000044,deterministically_linked,Deterministic,4,1,DCL000044,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D02 | D03 | D07
UCR000045,PCL000045,STG000045,deterministically_linked,Deterministic,10,1,DCL000045,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000046,PCL000046,STG000046,deterministically_linked,Deterministic,5,1,DCL000046,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000047,PCL000047,STG000047,deterministically_linked,Deterministic,6,1,DCL000047,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D05 | D06
UCR000048,PCL000048,STG000048,deterministically_linked,Deterministic,4,1,DCL000048,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D03 | D04 | D06
UCR000049,PCL000049,STG000049,deterministically_linked,Deterministic,13,1,DCL000049,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D08
UCR000050,PCL000050,STG000050,deterministically_linked,Deterministic,9,1,DCL000050,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000051,PCL000051,STG000051,deterministically_linked,Deterministic,2,1,DCL000051,2,CRM | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000052,PCL000052,STG000052,deterministically_linked,Deterministic,4,1,DCL000052,2,CRM | ONLINE,1.0,Exact deterministic-rule confidence,D02
UCR000053,PCL000053,STG000053,deterministically_linked,Deterministic,9,1,DCL000053,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03 | D06
UCR000054,PCL000054,STG000054,deterministically_linked,Deterministic,5,1,DCL000054,3,CRM | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D03
UCR000055,PCL000055,STG000055,deterministically_linked,Deterministic,6,1,DCL000055,3,CRM | ECOMMERCE | SUPPORT,1.0,Exact deterministic-rule confidence,D03
UCR000056,PCL000056,STG000056,deterministically_linked,Deterministic,9,1,DCL000056,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02
UCR000057,PCL000057,STG000057,deterministically_linked,Deterministic,2,1,DCL000057,2,CRM | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000058,PCL000058,STG000058,unresolved_singleton,Unresolved,1,1,DCL000058,1,CRM,,,
UCR000059,PCL000059,STG000059,deterministically_linked,Deterministic,3,1,DCL000059,2,CRM | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000060,PCL000060,STG000060,deterministically_linked,Deterministic,5,1,DCL000060,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000061,PCL000061,STG000061,deterministically_linked,Deterministic,6,1,DCL000061,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000062,PCL000062,STG000062,deterministically_linked,Deterministic,7,1,DCL000062,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D05
UCR000063,PCL000063,STG000063,deterministically_linked,Deterministic,5,1,DCL000063,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03 | D06
UCR000064,PCL000064,STG000064,deterministically_linked,Deterministic,7,1,DCL000064,3,CRM | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D03
UCR000065,PCL000065,STG000065,deterministically_linked,Deterministic,4,1,DCL000065,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D02
UCR000066,PCL000066,STG000066,deterministically_linked,Deterministic,7,1,DCL000066,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03 | D06
UCR000067,PCL000067,STG000067,deterministically_linked,Deterministic,6,1,DCL000067,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03 | D04 | D06
UCR000068,PCL000068,STG000068,deterministically_linked,Deterministic,5,1,DCL000068,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000069,PCL000069,STG000069,deterministically_linked,Deterministic,6,1,DCL000069,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D03 | D08
UCR000070,PCL000070,STG000070,deterministically_linked,Deterministic,6,1,DCL000070,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000071,PCL000071,STG000071,deterministically_linked,Deterministic,5,1,DCL000071,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000072,PCL000072,STG000072,deterministically_linked,Deterministic,3,1,DCL000072,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000073,PCL000073,STG000073,deterministically_linked,Deterministic,5,1,DCL000073,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000074,PCL000074,STG000074,deterministically_linked,Deterministic,6,1,DCL000074,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D03 | D06
UCR000075,PCL000075,STG000075,deterministically_linked,Deterministic,9,1,DCL000075,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03 | D06
UCR000076,PCL000076,STG000076,deterministically_linked,Deterministic,6,1,DCL000076,4,CRM | ECOMMERCE | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000077,PCL000077,STG000077,deterministically_linked,Deterministic,6,1,DCL000077,3,CRM | ECOMMERCE | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02
UCR000078,PCL000078,STG000078,deterministically_linked,Deterministic,7,1,DCL000078,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D02 | D03
UCR000079,PCL000079,STG000079,deterministically_linked,Deterministic,8,1,DCL000079,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03 | D05 | D06
UCR000080,PCL000080,STG000080,deterministically_linked,Deterministic,6,1,DCL000080,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03 | D06
UCR000081,PCL000081,STG000081,deterministically_linked,Deterministic,6,1,DCL000081,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D03
UCR000082,PCL000082,STG000082,deterministically_linked,Deterministic,3,1,DCL000082,2,CRM | ONLINE,1.0,Exact deterministic-rule confidence,D02
UCR000083,PCL000083,STG000083,deterministically_linked,Deterministic,9,1,DCL000083,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D02 | D03 | D04
UCR000084,PCL000084,STG000084,deterministically_linked,Deterministic,3,1,DCL000084,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D03
UCR000085,PCL000085,STG000085,deterministically_linked,Deterministic,5,1,DCL000085,4,CRM | ECOMMERCE | MARKETING | ONLINE,1.0,Exact deterministic-rule confidence,D01 | D02 | D03
UCR000086,PCL000086,STG000086,deterministically_linked,Deterministic,4,1,DCL000086,4,CRM | ECOMMERCE | MARKETING | SUPPORT,1.0,Exact deterministic-rule confidence,D03 | D06
UCR000087,PCL000087,STG000087,unresolved_singleton,Unresolved,1,1,DCL000087,1,CRM,,,
UCR000088,PCL000088,STG000088,deterministically_linked,Deterministic,3,1,DCL000088,3,CRM | ECOMMERCE | MARKETING,1.0,Exact deterministic-rule confidence,D03 | D06
UCR000089,PCL000089,STG000089,deterministically_linked,Deterministic,7,1,DCL000089,5,CRM | ECOMMERCE | MARKETING | ONLINE | SUPPORT,1.0,Exact deterministic-rule confidence,D01 | D03 | D06
