staging_record_id,ucr_id,source_system,source_record_id,deterministic_cluster_id,probabilistic_cluster_id,resolution_status,match_method,cluster_size,deterministic_cluster_count,cluster_confidence,cluster_confidence_type,deterministic_linking_rules
STG000058,UCR000058,CRM,CRM000058,DCL000058,PCL000058,unresolved_singleton,Unresolved,1,1,,,
STG000087,UCR000087,CRM,CRM000087,DCL000087,PCL000087,unresolved_singleton,Unresolved,1,1,,,
STG000150,UCR000150,CRM,CRM000150,DCL000150,PCL000150,unresolved_singleton,Unresolved,1,1,,,
STG000188,UCR000188,CRM,CRM000188,DCL000188,PCL000188,unresolved_singleton,Unresolved,1,1,,,
STG000228,UCR000228,CRM,CRM000228,DCL000228,PCL000228,unresolved_singleton,Unresolved,1,1,,,
STG000235,UCR000235,CRM,CRM000235,DCL000235,PCL000235,unresolved_singleton,Unresolved,1,1,,,
STG000278,UCR000278,CRM,CRM000278,DCL000278,PCL000278,unresolved_singleton,Unresolved,1,1,,,
STG000392,UCR000392,CRM,CRM000392,DCL000392,PCL000392,unresolved_singleton,Unresolved,1,1,,,
STG000416,UCR000416,CRM,CRM000416,DCL000416,PCL000416,unresolved_singleton,Unresolved,1,1,,,
STG000492,UCR000492,CRM,CRM000492,DCL000492,PCL000492,unresolved_singleton,Unresolved,1,1,,,
STG000506,UCR000506,CRM,CRM000506,DCL000506,PCL000506,unresolved_singleton,Unresolved,1,1,,,
STG000562,UCR000562,CRM,CRM000562,DCL000562,PCL000562,unresolved_singleton,Unresolved,1,1,,,
STG000570,UCR000570,CRM,CRM000570,DCL000570,PCL000570,unresolved_singleton,Unresolved,1,1,,,
STG000624,UCR000624,CRM,CRM000624,DCL000624,PCL000624,unresolved_singleton,Unresolved,1,1,,,
STG000653,UCR000653,CRM,CRM000653,DCL000653,PCL000653,unresolved_singleton,Unresolved,1,1,,,
STG000708,UCR000708,CRM,CRM000708,DCL000708,PCL000708,unresolved_singleton,Unresolved,1,1,,,
STG000709,UCR000709,CRM,CRM000709,DCL000709,PCL000709,unresolved_singleton,Unresolved,1,1,,,
STG000773,UCR000773,CRM,CRM000773,DCL000773,PCL000773,unresolved_singleton,Unresolved,1,1,,,
STG000981,UCR000981,CRM,CRM000981,DCL000981,PCL000981,unresolved_singleton,Unresolved,1,1,,,
STG000985,UCR000985,CRM,CRM000985,DCL000985,PCL000985,unresolved_singleton,Unresolved,1,1,,,
STG000993,UCR000993,CRM,CRM000993,DCL000993,PCL000993,unresolved_singleton,Unresolved,1,1,,,
STG001003,UCR001003,CRM,CRM001003,DCL001003,PCL001003,unresolved_singleton,Unresolved,1,1,,,
STG001084,UCR001084,CRM,CRM001084,DCL001084,PCL001084,unresolved_singleton,Unresolved,1,1,,,
STG001092,UCR001092,CRM,CRM001092,DCL001092,PCL001092,unresolved_singleton,Unresolved,1,1,,,
STG001107,UCR001107,CRM,CRM001107,DCL001107,PCL001107,unresolved_singleton,Unresolved,1,1,,,
STG001121,UCR001121,CRM,CRM001121,DCL001121,PCL001121,unresolved_singleton,Unresolved,1,1,,,
STG001134,UCR001134,CRM,CRM001134,DCL001134,PCL001134,unresolved_singleton,Unresolved,1,1,,,
STG001180,UCR001180,CRM,CRM001180,DCL001180,PCL001180,unresolved_singleton,Unresolved,1,1,,,
STG001290,UCR001290,CRM,CRM001290,DCL001290,PCL001290,unresolved_singleton,Unresolved,1,1,,,
STG001308,UCR001308,CRM,CRM001308,DCL001308,PCL001308,unresolved_singleton,Unresolved,1,1,,,
STG001315,UCR001315,CRM,CRM001315,DCL001315,PCL001315,unresolved_singleton,Unresolved,1,1,,,
STG001353,UCR001353,CRM,CRM001353,DCL001353,PCL001353,unresolved_singleton,Unresolved,1,1,,,
STG001374,UCR001374,CRM,CRM001374,DCL001374,PCL001374,unresolved_singleton,Unresolved,1,1,,,
STG001396,UCR001396,CRM,CRM001396,DCL001396,PCL001396,unresolved_singleton,Unresolved,1,1,,,
STG001440,UCR001440,CRM,CRM001440,DCL001440,PCL001440,unresolved_singleton,Unresolved,1,1,,,
STG001468,UCR001468,CRM,CRM001468,DCL001468,PCL001468,unresolved_singleton,Unresolved,1,1,,,
STG001574,UCR001574,CRM,CRM001574,DCL001574,PCL001574,unresolved_singleton,Unresolved,1,1,,,
STG001584,UCR001584,CRM,CRM001584,DCL001584,PCL001584,unresolved_singleton,Unresolved,1,1,,,
STG001666,UCR001666,CRM,CRM001666,DCL001666,PCL001666,unresolved_singleton,Unresolved,1,1,,,
STG001667,UCR001667,CRM,CRM001667,DCL001667,PCL001667,unresolved_singleton,Unresolved,1,1,,,
STG001708,UCR001708,CRM,CRM001708,DCL001708,PCL001708,unresolved_singleton,Unresolved,1,1,,,
STG001756,UCR001756,CRM,CRM001756,DCL001756,PCL001756,unresolved_singleton,Unresolved,1,1,,,
STG001876,UCR001876,CRM,CRM001876,DCL001876,PCL001876,unresolved_singleton,Unresolved,1,1,,,
STG002021,UCR002021,CRM,CRM002021,DCL002021,PCL002021,unresolved_singleton,Unresolved,1,1,,,
STG002034,UCR002034,CRM,CRM002034,DCL002034,PCL002034,unresolved_singleton,Unresolved,1,1,,,
STG002126,UCR002126,CRM,CRM002126,DCL002126,PCL002126,unresolved_singleton,Unresolved,1,1,,,
STG002215,UCR002215,CRM,CRM002215,DCL002215,PCL002215,unresolved_singleton,Unresolved,1,1,,,
STG002291,UCR002291,CRM,CRM002291,DCL002291,PCL002291,unresolved_singleton,Unresolved,1,1,,,
STG002404,UCR002404,CRM,CRM002404,DCL002404,PCL002404,unresolved_singleton,Unresolved,1,1,,,
STG002431,UCR002431,CRM,CRM002431,DCL002431,PCL002431,unresolved_singleton,Unresolved,1,1,,,
STG002467,UCR002467,CRM,CRM002467,DCL002467,PCL002467,unresolved_singleton,Unresolved,1,1,,,
STG002540,UCR002540,CRM,CRM002540,DCL002540,PCL002540,unresolved_singleton,Unresolved,1,1,,,
STG002615,UCR002615,CRM,CRM002615,DCL002615,PCL002615,unresolved_singleton,Unresolved,1,1,,,
STG002662,UCR002662,CRM,CRM002662,DCL002662,PCL002662,unresolved_singleton,Unresolved,1,1,,,
STG002666,UCR002666,CRM,CRM002666,DCL002666,PCL002666,unresolved_singleton,Unresolved,1,1,,,
