cluster_id_1,cluster_id_2,cluster_size_1,cluster_size_2,blocking_rules,blocking_rule_names,blocking_hits,record_pairs_compared,record_id_1,source_system_1,source_record_id_1,record_id_2,source_system_2,source_record_id_2,email_available,email_similarity,phone_available,phone_similarity,name_available,name_similarity,address_available,address_similarity,postcode_available,postcode_similarity,date_of_birth_available,date_of_birth_similarity,weighted_similarity_score,evidence_coverage,strong_identifiers,supporting_features,corroborating_features,supporting_feature_count,corroborating_feature_count,static_conflict,preliminary_decision,preliminary_reason,final_decision,final_reason,merge_performed,probabilistic_cluster_id_1,probabilistic_cluster_id_2
DCL000022,DCL009374,10,3,B04,Email domain and local-part prefix,1,30,STG024812,MARKETING,MKT003510,STG076022,SUPPORT,SUP002720,True,0.902,False,0.0,True,0.8,False,0.0,False,0.0,False,0.0,0.8612,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000022,PCL000022
DCL000022,DCL009385,10,6,B04,Email domain and local-part prefix,1,60,STG024812,MARKETING,MKT003510,STG077668,SUPPORT,SUP004366,True,0.9057,False,0.0,True,0.8148,False,0.0,False,0.0,False,0.0,0.8693,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000022,PCL000022
DCL000040,DCL010500,2,1,B04,Email domain and local-part prefix,1,2,STG020948,ECOMMERCE,TXN012948,STG033213,MARKETING,MKT011911,True,1.0,False,0.0,True,0.9412,False,0.0,True,0.6667,False,0.0,0.9248,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000040,PCL000040
DCL000041,DCL009302,14,4,B04,Email domain and local-part prefix,1,56,STG032149,MARKETING,MKT010847,STG077767,SUPPORT,SUP004465,True,0.898,False,0.0,True,0.8148,False,0.0,False,0.0,False,0.0,0.8647,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000041,PCL000041
DCL000124,DCL008987,5,2,B04,Email domain and local-part prefix,1,10,STG076543,SUPPORT,SUP003241,STG032530,MARKETING,MKT011228,True,0.8889,False,0.0,True,0.8125,False,0.0,False,0.0,False,0.0,0.8583,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000124,PCL000124
DCL000126,DCL009004,10,8,B04,Email domain and local-part prefix,1,80,STG074555,SUPPORT,SUP001253,STG032342,MARKETING,MKT011040,True,0.913,False,0.0,True,0.8,False,0.0,False,0.0,False,0.0,0.8678,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000126,PCL000126
DCL000184,DCL009990,2,1,B04,Email domain and local-part prefix,1,2,STG000184,CRM,CRM000184,STG026625,MARKETING,MKT005323,True,1.0,False,0.0,True,0.9412,False,0.0,False,0.0,False,0.0,0.9765,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000184,PCL000184
DCL000185,DCL009089,3,1,B02,Surname initial and postcode outward code,1,3,STG030892,MARKETING,MKT009590,STG018468,ECOMMERCE,TXN010468,True,0.8846,False,0.0,True,1.0,False,0.0,True,0.6,False,0.0,0.8756,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000185,PCL000185
DCL000211,DCL009088,6,5,B04,Email domain and local-part prefix,1,30,STG023342,MARKETING,MKT002040,STG078075,SUPPORT,SUP004773,True,0.8889,False,0.0,True,0.8571,False,0.0,False,0.0,False,0.0,0.8762,0.5,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000211,PCL000211
DCL000219,DCL008563,3,2,B01 | B02 | B03 | B05,First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code | Surname prefix and exact postcode,4,6,STG000219,CRM,CRM000219,STG013505,ECOMMERCE,TXN005505,True,0.7843,True,1.0,True,0.96,True,1.0,True,1.0,False,0.0,0.9235,0.95,phone,address | email | name | phone | postcode,address | email | name | postcode,5,4,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000219,PCL000219
