cluster_id_1,cluster_id_2,cluster_size_1,cluster_size_2,blocking_rules,blocking_rule_names,blocking_hits,record_pairs_compared,record_id_1,source_system_1,source_record_id_1,record_id_2,source_system_2,source_record_id_2,email_available,email_similarity,phone_available,phone_similarity,name_available,name_similarity,address_available,address_similarity,postcode_available,postcode_similarity,date_of_birth_available,date_of_birth_similarity,weighted_similarity_score,evidence_coverage,strong_identifiers,supporting_features,corroborating_features,supporting_feature_count,corroborating_feature_count,static_conflict,preliminary_decision,preliminary_reason,final_decision,final_reason,merge_performed,probabilistic_cluster_id_1,probabilistic_cluster_id_2
DCL000040,DCL010500,2,1,B04,Email domain and local-part prefix,1,2,STG020948,ECOMMERCE,TXN012948,STG033213,MARKETING,MKT011911,True,1.0,False,0.0,True,0.9412,False,0.0,True,0.6667,False,0.0,0.9248,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000040,PCL000040
DCL000219,DCL008563,3,2,B01 | B02 | B03 | B05,First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code | Surname prefix and exact postcode,4,6,STG000219,CRM,CRM000219,STG013505,ECOMMERCE,TXN005505,True,0.7843,True,1.0,True,0.96,True,1.0,True,1.0,False,0.0,0.9235,0.95,phone,address | email | name | phone | postcode,address | email | name | postcode,5,4,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000219,PCL000219
DCL000284,DCL010288,3,1,B04,Email domain and local-part prefix,1,3,STG020979,ECOMMERCE,TXN012979,STG030433,MARKETING,MKT009131,True,1.0,False,0.0,True,0.9375,False,0.0,True,0.6667,False,0.0,0.9236,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000284,PCL000284
DCL000328,DCL010077,7,1,B04,Email domain and local-part prefix,1,7,STG022618,MARKETING,MKT001316,STG027561,MARKETING,MKT006259,True,1.0,False,0.0,True,0.9231,False,0.0,True,0.6667,False,0.0,0.9188,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000328,PCL000328
DCL000335,DCL010246,11,1,B04,Email domain and local-part prefix,1,11,STG020013,ECOMMERCE,TXN012013,STG029887,MARKETING,MKT008585,True,1.0,False,0.0,True,0.9565,False,0.0,True,0.6,False,0.0,0.9188,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000335,PCL000335
DCL000497,DCL008637,1,2,B01 | B02 | B03 | B05,First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code | Surname prefix and exact postcode,4,2,STG000497,CRM,CRM000497,STG014157,ECOMMERCE,TXN006157,False,0.0,True,1.0,True,0.8235,True,1.0,True,1.0,False,0.0,0.9457,0.65,phone,address | name | phone | postcode,address | name | postcode,4,3,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000497,PCL000497
DCL000519,DCL010495,5,1,B04,Email domain and local-part prefix,1,5,STG033275,MARKETING,MKT011973,STG033162,MARKETING,MKT011860,True,0.9796,False,0.0,True,1.0,False,0.0,True,0.6,False,0.0,0.9231,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000519,PCL000519
DCL000579,DCL007917,3,1,B01 | B02 | B03 | B05,First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code | Surname prefix and exact postcode,4,3,STG013419,ECOMMERCE,TXN005419,STG008655,ECOMMERCE,TXN000655,True,0.8077,True,1.0,True,0.9231,True,1.0,True,1.0,False,0.0,0.9231,0.95,phone,address | email | name | phone | postcode,address | email | name | postcode,5,4,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000579,PCL000579
DCL000640,DCL008585,4,1,B02 | B03 | B04 | B05,Email domain and local-part prefix | First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code,4,4,STG000640,CRM,CRM000640,STG013673,ECOMMERCE,TXN005673,True,0.9804,True,1.0,True,0.9333,True,1.0,True,1.0,False,0.0,0.9798,0.95,email | phone,address | email | name | phone | postcode,address | name | postcode,5,3,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000640,PCL000640
DCL000665,DCL009952,12,1,B04,Email domain and local-part prefix,1,12,STG020180,ECOMMERCE,TXN012180,STG026172,MARKETING,MKT004870,True,1.0,False,0.0,True,0.96,False,0.0,True,0.6,False,0.0,0.92,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL000665,PCL000665
DCL001046,DCL010030,4,1,B04,Email domain and local-part prefix,1,4,STG027995,MARKETING,MKT006693,STG027133,MARKETING,MKT005831,True,1.0,False,0.0,True,0.9565,False,0.0,True,0.6667,False,0.0,0.93,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001046,PCL001046
DCL001164,DCL010320,2,1,B04,Email domain and local-part prefix,1,2,STG030489,MARKETING,MKT009187,STG030822,MARKETING,MKT009520,True,1.0,False,0.0,True,0.963,False,0.0,True,0.6667,False,0.0,0.9321,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001164,PCL001164
DCL001246,DCL008121,5,5,B04,Email domain and local-part prefix,1,25,STG033277,MARKETING,MKT011975,STG024479,MARKETING,MKT003177,True,0.9744,False,0.0,True,1.0,False,0.0,True,0.5455,False,0.0,0.9114,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001246,PCL001246
DCL001263,DCL009355,2,2,B02 | B04,Email domain and local-part prefix | Surname initial and postcode outward code,2,4,STG030563,MARKETING,MKT009261,STG020443,ECOMMERCE,TXN012443,True,0.9545,False,0.0,True,1.0,False,0.0,True,0.6,False,0.0,0.9106,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001263,PCL001263
DCL001348,DCL010611,1,1,B04,Email domain and local-part prefix,1,1,STG001348,CRM,CRM001348,STG075336,SUPPORT,SUP002034,True,0.9796,True,1.0,True,0.7273,False,0.0,False,0.0,False,0.0,0.9191,0.75,email | phone,email | phone,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001348,PCL001348
DCL001454,DCL010367,4,1,B04,Email domain and local-part prefix,1,4,STG020437,ECOMMERCE,TXN012437,STG031424,MARKETING,MKT010122,True,1.0,False,0.0,True,0.9524,False,0.0,True,0.6,False,0.0,0.9175,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001454,PCL001454
DCL001570,DCL008368,4,1,B01 | B02 | B03 | B05,First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code | Surname prefix and exact postcode,4,4,STG001570,CRM,CRM001570,STG011889,ECOMMERCE,TXN003889,False,0.0,True,1.0,True,0.9,True,1.0,True,1.0,False,0.0,0.9692,0.65,phone,address | name | phone | postcode,address | name | postcode,4,3,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001570,PCL001570
DCL001893,DCL010361,10,1,B04,Email domain and local-part prefix,1,10,STG020344,ECOMMERCE,TXN012344,STG031374,MARKETING,MKT010072,True,1.0,False,0.0,True,0.9412,False,0.0,True,0.6667,False,0.0,0.9248,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001893,PCL001893
DCL001917,DCL010216,5,1,B04,Email domain and local-part prefix,1,5,STG015885,ECOMMERCE,TXN007885,STG029515,MARKETING,MKT008213,True,1.0,False,0.0,True,0.963,False,0.0,True,0.6667,False,0.0,0.9321,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001917,PCL001917
DCL001967,DCL010135,7,1,B04,Email domain and local-part prefix,1,7,STG015143,ECOMMERCE,TXN007143,STG028306,MARKETING,MKT007004,True,1.0,False,0.0,True,0.9655,False,0.0,True,0.6,False,0.0,0.9218,0.6,email,email | name,name,2,1,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL001967,PCL001967
DCL002011,DCL009349,2,1,B01 | B02 | B03 | B05,First-name initial and exact postcode | Phone suffix and surname initial | Surname initial and postcode outward code | Surname prefix and exact postcode,4,2,STG002011,CRM,CRM002011,STG020419,ECOMMERCE,TXN012419,True,0.7692,True,1.0,True,0.9231,True,1.0,True,1.0,False,0.0,0.9109,0.95,phone,address | email | name | phone | postcode,address | email | name | postcode,5,4,False,automatic_match,Automatic match criteria satisfied,accepted_merge,Automatic criteria and cluster safeguards satisfied,True,PCL002011,PCL002011
